s,Pa,m/s,,s,,,
Time,"pres","error","iter","cpu","SCARC_ITE","SCARC_RES","SCARC_CONV"
 2.5302597E-001, 5.3884724E-002, 4.9288360E-005, 1.0000000E+000, 4.7538596E+001, 1.2000000E+001, 7.5449428E-010, 8.2975311E-002
 2.5421630E-001, 5.3849126E-002, 4.9652328E-005, 1.0000000E+000, 4.7856360E+001, 1.2000000E+001, 7.6069647E-010, 8.2980547E-002
 2.5540663E-001, 5.3813394E-002, 4.1944487E-005, 1.0000000E+000, 4.8821769E+001, 1.2000000E+001, 7.4587845E-010, 8.2565868E-002
 2.5659696E-001, 5.3846006E-002, 4.2197914E-005, 1.0000000E+000, 4.9127837E+001, 1.2000000E+001, 7.5091502E-010, 8.2570639E-002
 2.5778729E-001, 5.3809815E-002, 4.2505123E-005, 1.0000000E+000, 4.9485572E+001, 1.2000000E+001, 7.5658798E-010, 8.2572072E-002
 2.5897762E-001, 5.3774179E-002, 4.2813615E-005, 1.0000000E+000, 4.9789058E+001, 1.2000000E+001, 7.6228423E-010, 8.2573479E-002
 2.6016795E-001, 5.3604172E-002, 4.3019336E-005, 1.0000000E+000, 5.0155459E+001, 1.2000000E+001, 7.6679692E-010, 8.2581373E-002
 2.6135828E-001, 5.3565959E-002, 4.3327947E-005, 1.0000000E+000, 5.0507785E+001, 1.2000000E+001, 7.7251267E-010, 8.2582852E-002
 2.6254861E-001, 5.3528936E-002, 4.3638245E-005, 1.0000000E+000, 5.0828238E+001, 1.2000000E+001, 7.7825647E-010, 8.2584282E-002
 2.6373894E-001, 5.3491794E-002, 4.3949307E-005, 1.0000000E+000, 5.1158171E+001, 1.2000000E+001, 7.8401773E-010, 8.2585720E-002
 2.6492927E-001, 5.3454520E-002, 4.4261116E-005, 1.0000000E+000, 5.1531401E+001, 1.2000000E+001, 7.8979628E-010, 8.2587168E-002
 2.6611959E-001, 5.3417116E-002, 4.4573661E-005, 1.0000000E+000, 5.2409346E+001, 1.2000000E+001, 7.9559205E-010, 8.2588626E-002
 2.6730992E-001, 5.3379581E-002, 4.4886936E-005, 1.0000000E+000, 5.2760581E+001, 1.2000000E+001, 8.0140499E-010, 8.2590096E-002
 2.6850025E-001, 5.3341917E-002, 4.5200933E-005, 1.0000000E+000, 5.3052710E+001, 1.2000000E+001, 8.0723506E-010, 8.2591578E-002
 2.6969058E-001, 5.3304123E-002, 4.5515645E-005, 1.0000000E+000, 5.3405154E+001, 1.2000000E+001, 8.1308226E-010, 8.2593071E-002
 2.7088091E-001, 5.3266200E-002, 4.5831068E-005, 1.0000000E+000, 5.3697104E+001, 1.2000000E+001, 8.1894655E-010, 8.2594578E-002
 2.7207124E-001, 5.3228149E-002, 4.6147194E-005, 1.0000000E+000, 5.4023555E+001, 1.2000000E+001, 8.2482795E-010, 8.2596099E-002
 2.7445190E-001, 5.3170816E-002, 4.6622782E-005, 1.0000000E+000, 5.4846717E+001, 1.2000000E+001, 8.3368427E-010, 8.2598408E-002
 2.7683256E-001, 5.3093948E-002, 4.7259205E-005, 1.0000000E+000, 5.5489133E+001, 1.2000000E+001, 8.4554975E-010, 8.2601537E-002
 2.7896862E-001, 5.3138156E-002, 4.3008590E-005, 1.0000000E+000, 5.6267754E+001, 1.2000000E+001, 8.5753068E-010, 8.2599670E-002
 2.8003666E-001, 5.2976406E-002, 4.3322497E-005, 1.0000000E+000, 5.6733607E+001, 1.2000000E+001, 8.6466209E-010, 8.2606577E-002
 2.8217272E-001, 5.2923840E-002, 4.3711139E-005, 1.0000000E+000, 5.7942633E+001, 1.2000000E+001, 8.7276574E-010, 8.2608783E-002
 2.8430879E-001, 5.2853443E-002, 4.4230880E-005, 1.0000000E+000, 5.8581931E+001, 1.2000000E+001, 8.8361597E-010, 8.2611774E-002
 2.8644486E-001, 5.2782647E-002, 4.4752425E-005, 1.0000000E+000, 5.9220824E+001, 1.2000000E+001, 8.9452005E-010, 8.2614828E-002
 2.8858093E-001, 5.2711456E-002, 4.5275735E-005, 1.0000000E+000, 5.9846232E+001, 1.2000000E+001, 9.0547768E-010, 8.2617946E-002
 2.9071699E-001, 5.2639871E-002, 4.5800779E-005, 1.0000000E+000, 6.0565575E+001, 1.2000000E+001, 9.1648867E-010, 8.2621130E-002
 2.9285306E-001, 5.2567896E-002, 4.6327529E-005, 1.0000000E+000, 6.1205071E+001, 1.2000000E+001, 9.2755289E-010, 8.2624380E-002
 2.9498913E-001, 5.2495533E-002, 4.6855966E-005, 1.0000000E+000, 6.1845147E+001, 1.2000000E+001, 9.3867030E-010, 8.2627698E-002
 2.9605716E-001, 5.2441020E-002, 4.7253336E-005, 1.0000000E+000, 6.2325671E+001, 1.2000000E+001, 9.4704158E-010, 8.2630229E-002
 2.9819323E-001, 5.2386266E-002, 4.7651738E-005, 1.0000000E+000, 6.3343020E+001, 1.2000000E+001, 9.5544603E-010, 8.2632803E-002
 3.0032930E-001, 5.2312944E-002, 4.8184300E-005, 1.0000000E+000, 6.3986171E+001, 1.2000000E+001, 9.6669611E-010, 8.2636292E-002
 3.0246536E-001, 5.2239242E-002, 4.8718472E-005, 1.0000000E+000, 6.4637149E+001, 1.2000000E+001, 9.7799903E-010, 8.2639851E-002
 3.0460143E-001, 5.2165163E-002, 4.9254228E-005, 1.0000000E+000, 6.5293364E+001, 1.2000000E+001, 9.8935452E-010, 8.2643479E-002
 3.0673750E-001, 5.2090710E-002, 4.9791539E-005, 1.0000000E+000, 6.5915850E+001, 1.2000000E+001, 1.0007623E-009, 8.2647176E-002
 3.0887356E-001, 5.2064060E-002, 3.9696794E-005, 1.0000000E+000, 6.6924960E+001, 1.2000000E+001, 1.0219890E-009, 8.2550023E-002
 3.1100963E-001, 5.2036733E-002, 4.0097206E-005, 1.0000000E+000, 6.7592406E+001, 1.2000000E+001, 1.0322797E-009, 8.2549673E-002
 3.1207767E-001, 5.1792962E-002, 4.0317563E-005, 1.0000000E+000, 6.8093947E+001, 1.2000000E+001, 1.0382352E-009, 8.2551860E-002
 3.1421373E-001, 5.1733279E-002, 4.0637785E-005, 1.0000000E+000, 6.8585192E+001, 1.2000000E+001, 1.0464098E-009, 8.2551125E-002
 3.1634980E-001, 5.1656160E-002, 4.1066618E-005, 1.0000000E+000, 6.9508090E+001, 1.2000000E+001, 1.0573584E-009, 8.2550166E-002
 3.1848587E-001, 5.1578688E-002, 4.1496448E-005, 1.0000000E+000, 7.0172023E+001, 1.2000000E+001, 1.0683379E-009, 8.2549268E-002
 3.2051362E-001, 5.1643994E-002, 4.4740242E-005, 1.0000000E+000, 7.0882346E+001, 1.2000000E+001, 1.0773608E-009, 8.2608375E-002
 3.2243307E-001, 5.1536120E-002, 4.8347194E-005, 1.0000000E+000, 7.1578551E+001, 1.2000000E+001, 1.0865229E-009, 8.2676327E-002
 3.2435252E-001, 5.1466726E-002, 4.8790711E-005, 1.0000000E+000, 7.2366168E+001, 1.2000000E+001, 1.0971515E-009, 8.2680122E-002
 3.2627196E-001, 5.1396849E-002, 4.9235074E-005, 1.0000000E+000, 7.3003291E+001, 1.2000000E+001, 1.1078181E-009, 8.2683973E-002
 3.2819141E-001, 5.1326690E-002, 4.9680409E-005, 1.0000000E+000, 7.3641131E+001, 1.2000000E+001, 1.1185245E-009, 8.2687870E-002
 3.3011086E-001, 5.1309707E-002, 3.9542127E-005, 1.0000000E+000, 7.4267043E+001, 1.2000000E+001, 1.1320435E-009, 8.2541653E-002
 3.3203030E-001, 5.1291957E-002, 3.9869060E-005, 1.0000000E+000, 7.4990207E+001, 1.2000000E+001, 1.1414664E-009, 8.2541963E-002
 3.3490947E-001, 5.1063999E-002, 4.0244386E-005, 1.0000000E+000, 7.5798852E+001, 1.2000000E+001, 1.1524427E-009, 8.2543468E-002
 3.3682892E-001, 5.0902770E-002, 4.0653485E-005, 1.0000000E+000, 7.7252234E+001, 1.2000000E+001, 1.1642645E-009, 8.2544055E-002
 3.3874836E-001, 5.0830166E-002, 4.1008644E-005, 1.0000000E+000, 7.8803313E+001, 1.2000000E+001, 1.1744181E-009, 8.2543768E-002
 3.4066781E-001, 5.0757291E-002, 4.1364421E-005, 1.0000000E+000, 8.0400389E+001, 1.2000000E+001, 1.1845952E-009, 8.2543526E-002
