s,m/s
Time,"Ub"
 4.4501604E+001, 9.6696672E-001
 4.4620532E+001, 9.6654909E-001
 4.4715674E+001, 9.6491114E-001
 4.4810817E+001, 9.6090464E-001
 4.4905959E+001, 9.5792748E-001
 4.5001102E+001, 9.5840833E-001
 4.5120030E+001, 9.5890827E-001
 4.5215172E+001, 9.5981656E-001
 4.5310315E+001, 9.6269485E-001
 4.5405457E+001, 9.6517257E-001
 4.5500599E+001, 9.6425065E-001
 4.5617124E+001, 9.6078400E-001
 4.5702650E+001, 9.5934137E-001
 4.5809559E+001, 9.5872612E-001
 4.5916467E+001, 9.5866898E-001
 4.6001994E+001, 9.5853986E-001
 4.6108902E+001, 9.5752634E-001
 4.6215811E+001, 9.5702376E-001
 4.6301338E+001, 9.5719524E-001
 4.6408246E+001, 9.5715763E-001
 4.6515154E+001, 9.5836417E-001
 4.6600681E+001, 9.6035668E-001
 4.6707590E+001, 9.6121658E-001
 4.6814498E+001, 9.6149678E-001
 4.6900025E+001, 9.6164523E-001
 4.7006933E+001, 9.6104056E-001
 4.7113842E+001, 9.6062421E-001
 4.7220750E+001, 9.5891642E-001
 4.7306277E+001, 9.5735370E-001
 4.7413185E+001, 9.5727215E-001
 4.7520094E+001, 9.5797688E-001
 4.7605620E+001, 9.5761769E-001
 4.7712529E+001, 9.5743644E-001
 4.7819437E+001, 9.5814042E-001
 4.7904964E+001, 9.5918556E-001
 4.8011872E+001, 9.5925916E-001
 4.8118781E+001, 9.5786445E-001
 4.8204307E+001, 9.5649850E-001
 4.8311216E+001, 9.5552384E-001
 4.8418124E+001, 9.5462928E-001
 4.8503651E+001, 9.5323920E-001
 4.8610559E+001, 9.5382085E-001
 4.8717468E+001, 9.5661602E-001
 4.8802995E+001, 9.5810066E-001
 4.8909903E+001, 9.5856590E-001
 4.9016811E+001, 9.5913416E-001
 4.9102338E+001, 9.5892408E-001
 4.9209247E+001, 9.6013894E-001
 4.9316155E+001, 9.6125835E-001
 4.9401682E+001, 9.5990252E-001
 4.9508590E+001, 9.6000901E-001
 4.9615499E+001, 9.6106795E-001
 4.9701025E+001, 9.6133011E-001
 4.9807934E+001, 9.6211133E-001
 4.9914842E+001, 9.6202641E-001
 5.0000369E+001, 9.6116167E-001
 5.0107277E+001, 9.6193581E-001
 5.0214186E+001, 9.6238291E-001
 5.0321094E+001, 9.6130883E-001
 5.0406621E+001, 9.6075493E-001
 5.0513529E+001, 9.6085413E-001
 5.0620438E+001, 9.5945167E-001
 5.0705964E+001, 9.5764629E-001
 5.0812873E+001, 9.5678295E-001
 5.0919781E+001, 9.5575266E-001
 5.1005308E+001, 9.5381189E-001
 5.1112216E+001, 9.5272798E-001
 5.1219125E+001, 9.5201319E-001
 5.1304652E+001, 9.5115562E-001
 5.1411560E+001, 9.5093292E-001
 5.1518468E+001, 9.5042028E-001
 5.1603995E+001, 9.4943928E-001
 5.1710904E+001, 9.5022579E-001
 5.1817812E+001, 9.5176454E-001
 5.1903339E+001, 9.5065025E-001
 5.2010247E+001, 9.5092213E-001
 5.2117156E+001, 9.5139406E-001
 5.2202682E+001, 9.4974862E-001
 5.2309591E+001, 9.5062395E-001
 5.2416499E+001, 9.5014854E-001
 5.2502026E+001, 9.4860044E-001
 5.2608934E+001, 9.5126864E-001
 5.2715843E+001, 9.5388780E-001
 5.2801370E+001, 9.5399058E-001
 5.2908278E+001, 9.5391638E-001
 5.3015186E+001, 9.5440812E-001
 5.3100713E+001, 9.5504488E-001
 5.3207622E+001, 9.5566628E-001
 5.3314530E+001, 9.5484422E-001
 5.3400057E+001, 9.5440493E-001
 5.3506965E+001, 9.5573778E-001
 5.3618150E+001, 9.5669458E-001
 5.3712229E+001, 9.5624939E-001
 5.3806309E+001, 9.5602132E-001
 5.3900388E+001, 9.5602053E-001
 5.4017987E+001, 9.5595288E-001
 5.4112067E+001, 9.5664928E-001
 5.4206146E+001, 9.5809732E-001
 5.4300226E+001, 9.6069165E-001
 5.4417825E+001, 9.6342268E-001
 5.4511904E+001, 9.6442448E-001
 5.4605984E+001, 9.6575110E-001
 5.4700063E+001, 9.6778153E-001
 5.4817662E+001, 9.6907214E-001
