s,m/s
Time,"Ub"
 3.8605680E+001, 9.6990502E-001
 3.8700823E+001, 9.6983918E-001
 3.8808075E+001, 9.6879606E-001
 3.8903218E+001, 9.6697379E-001
 3.9007875E+001, 9.6437839E-001
 3.9103018E+001, 9.5843383E-001
 3.9207675E+001, 9.5562710E-001
 3.9302818E+001, 9.5901653E-001
 3.9407475E+001, 9.6098415E-001
 3.9502618E+001, 9.6072467E-001
 3.9607275E+001, 9.5872468E-001
 3.9702418E+001, 9.5429434E-001
 3.9805430E+001, 9.5028827E-001
 3.9906579E+001, 9.5471266E-001
 4.0000077E+001, 9.6352000E-001
 4.0102926E+001, 9.6919351E-001
 4.0205774E+001, 9.7379475E-001
 4.0308622E+001, 9.7486787E-001
 4.0402121E+001, 9.6997279E-001
 4.0504969E+001, 9.6607932E-001
 4.0607818E+001, 9.6286772E-001
 4.0701316E+001, 9.5675851E-001
 4.0804165E+001, 9.5253021E-001
 4.0907013E+001, 9.5231661E-001
 4.1000512E+001, 9.5290987E-001
 4.1103360E+001, 9.4991086E-001
 4.1200417E+001, 9.4941617E-001
 4.1301031E+001, 9.5172712E-001
 4.1401646E+001, 9.5409593E-001
 4.1502261E+001, 9.5529170E-001
 4.1608745E+001, 9.5413860E-001
 4.1700975E+001, 9.5441422E-001
 4.1802429E+001, 9.5874800E-001
 4.1905831E+001, 9.6186189E-001
 4.2002402E+001, 9.6612018E-001
 4.2101427E+001, 9.6962112E-001
 4.2200453E+001, 9.7219499E-001
 4.2308481E+001, 9.7401716E-001
 4.2407506E+001, 9.7312784E-001
 4.2506532E+001, 9.6238984E-001
 4.2605557E+001, 9.5586696E-001
 4.2704583E+001, 9.5717855E-001
 4.2803608E+001, 9.6060769E-001
 4.2902634E+001, 9.6308731E-001
 4.3001660E+001, 9.6460236E-001
 4.3100685E+001, 9.6775957E-001
 4.3208713E+001, 9.6856567E-001
 4.3307739E+001, 9.6591698E-001
 4.3406764E+001, 9.6389536E-001
 4.3505790E+001, 9.6095597E-001
 4.3604815E+001, 9.6024025E-001
 4.3703841E+001, 9.6099515E-001
 4.3807368E+001, 9.6269775E-001
 4.3906393E+001, 9.6627136E-001
 4.4005419E+001, 9.7164439E-001
 4.4104444E+001, 9.7668741E-001
 4.4203470E+001, 9.7786110E-001
 4.4302495E+001, 9.7358515E-001
 4.4401521E+001, 9.6942682E-001
 4.4500546E+001, 9.6576829E-001
 4.4609475E+001, 9.6729942E-001
 4.4708500E+001, 9.7121414E-001
 4.4807526E+001, 9.7387488E-001
 4.4906551E+001, 9.7167928E-001
 4.5005577E+001, 9.6526661E-001
 4.5104602E+001, 9.6095101E-001
 4.5203628E+001, 9.6284483E-001
 4.5302653E+001, 9.6290048E-001
 4.5403633E+001, 9.6448466E-001
 4.5500948E+001, 9.6297398E-001
