m,m/s,m,m/s,m,kg/m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,kg/m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,mu_strm_bot-x,mu_strm_bot,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib,mu_prof_rib-z,mu_prof_rib
 3.5625000E-001,-3.9819070E-001,NaN,NaN, 3.5625000E-001, 1.7113564E-004, 3.5625000E-001, 3.3414477E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.6875000E-001,-3.7008361E-001,NaN,NaN, 3.6875000E-001, 1.6642831E-004, 3.6875000E-001, 3.3318718E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.8125000E-001,-3.1707946E-001,NaN,NaN, 3.8125000E-001, 1.6174989E-004, 3.8125000E-001, 3.4272299E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 3.9375000E-001,-2.7703074E-001,NaN,NaN, 3.9375000E-001, 1.5480197E-004, 3.9375000E-001, 3.4269990E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.0625000E-001,-2.2130569E-001,NaN,NaN, 4.0625000E-001, 1.5063671E-004, 4.0625000E-001, 3.5027505E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.1875000E-001,-1.7991084E-001,NaN,NaN, 4.1875000E-001, 1.4617900E-004, 4.1875000E-001, 3.4593966E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.3125000E-001,-1.1971856E-001,NaN,NaN, 4.3125000E-001, 1.4169469E-004, 4.3125000E-001, 3.5033746E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.4375000E-001,-8.5559951E-002,NaN,NaN, 4.4375000E-001, 1.3476642E-004, 4.4375000E-001, 3.4980870E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.5625000E-001,-3.4581087E-002,NaN,NaN, 4.5625000E-001, 1.3246904E-004, 4.5625000E-001, 3.4701320E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.6875000E-001, 2.4757739E-004,NaN,NaN, 4.6875000E-001, 1.3335724E-004, 4.6875000E-001, 3.5508604E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.8125000E-001, 4.6221856E-002,NaN,NaN, 4.8125000E-001, 1.4052650E-004, 4.8125000E-001, 3.5745078E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 4.9375000E-001, 8.1031818E-002,NaN,NaN, 4.9375000E-001, 1.3786504E-004, 4.9375000E-001, 3.6087352E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.0625000E-001, 1.3265924E-001,NaN,NaN, 5.0625000E-001, 1.4054417E-004, 5.0625000E-001, 3.5553701E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.1875000E-001, 1.5840620E-001,NaN,NaN, 5.1875000E-001, 1.3736283E-004, 5.1875000E-001, 3.5962372E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.3125000E-001, 2.0447438E-001,NaN,NaN, 5.3125000E-001, 1.4012082E-004, 5.3125000E-001, 3.4818917E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.4375000E-001, 2.3173705E-001,NaN,NaN, 5.4375000E-001, 1.4104592E-004, 5.4375000E-001, 3.4351292E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.5625000E-001, 2.6786153E-001,NaN,NaN, 5.5625000E-001, 1.4347449E-004, 5.5625000E-001, 3.4784281E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.6875000E-001, 2.9624182E-001,NaN,NaN, 5.6875000E-001, 1.4468192E-004, 5.6875000E-001, 3.5435023E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.8125000E-001, 3.2920115E-001,NaN,NaN, 5.8125000E-001, 1.4818116E-004, 5.8125000E-001, 3.5260786E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 5.9375000E-001, 3.5590541E-001,NaN,NaN, 5.9375000E-001, 1.5047798E-004, 5.9375000E-001, 3.5301435E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
