s,m/s,Pa,kg/m/s,,,
Time,"UVEL","PRES","VISC","scarc-iter","scarc-rate","scarc-res"
 5.4713867E-001, 1.8591119E+000,-2.4251543E+000, 1.0000000E-001, 9.0000000E+001, 6.4790089E-001, 8.1066475E-015
 5.5910640E-001, 1.8641011E+000,-2.3919226E+000, 1.0000000E-001, 9.0000000E+001, 6.4836295E-001, 8.2503400E-015
 5.6481203E-001, 1.8686917E+000,-2.3596612E+000, 1.0000000E-001, 9.0000000E+001, 6.4866959E-001, 8.1707160E-015
 5.7108822E-001, 1.8718288E+000,-2.3397476E+000, 1.0000000E-001, 9.0000000E+001, 6.4791132E-001, 7.0943914E-015
 5.7680034E-001, 1.8745630E+000,-2.3169852E+000, 1.0000000E-001, 9.0000000E+001, 6.4849618E-001, 7.4442176E-015
 5.8308367E-001, 1.8774374E+000,-2.2970394E+000, 1.0000000E-001, 9.0000000E+001, 6.4795140E-001, 6.6527943E-015
 5.8880237E-001, 1.8799321E+000,-2.2743281E+000, 1.0000000E-001, 9.0000000E+001, 6.4847237E-001, 6.9148120E-015
 5.9509294E-001, 1.8825426E+000,-2.2543603E+000, 1.0000000E-001, 9.0000000E+001, 6.4787215E-001, 6.1285770E-015
 6.0081830E-001, 1.8847966E+000,-2.2317128E+000, 1.0000000E-001, 9.0000000E+001, 6.4828104E-001, 6.2689279E-015
 6.0711619E-001, 1.8871420E+000,-2.2117330E+000, 1.0000000E-001, 9.0000000E+001, 6.4763485E-001, 5.5187165E-015
 6.1284830E-001, 1.8891544E+000,-2.1891620E+000, 1.0000000E-001, 9.0000000E+001, 6.4818627E-001, 5.7571329E-015
 6.1915361E-001, 1.8912336E+000,-2.1691804E+000, 1.0000000E-001, 9.0000000E+001, 6.4757229E-001, 5.0909006E-015
 6.2489224E-001, 1.8930035E+000,-2.1466981E+000, 1.0000000E-001, 9.0000000E+001, 6.4777210E-001, 5.0588113E-015
 6.3120473E-001, 1.8948156E+000,-2.1267259E+000, 1.0000000E-001, 9.0000000E+001, 6.4717434E-001, 4.4854286E-015
 6.3694997E-001, 1.8963421E+000,-2.1043460E+000, 1.0000000E-001, 9.0000000E+001, 6.4746446E-001, 4.5167066E-015
