s,m/s,Pa,kg/m/s,,,
Time,"UVEL","PRES","VISC","scarc-iter","scarc-rate","scarc-res"
 9.1740090E-001, 2.0013447E+000,-1.3088043E+000, 1.0000000E-010, 9.0000000E+001, 6.4740836E-001, 5.5785832E-015
 9.2872678E-001, 1.9960099E+000,-1.2760317E+000, 1.0000000E-010, 9.0000000E+001, 6.4757130E-001, 5.7652801E-015
 9.3412003E-001, 1.9906256E+000,-1.2444951E+000, 1.0000000E-010, 9.0000000E+001, 6.4811047E-001, 6.2553251E-015
 9.4005261E-001, 1.9865692E+000,-1.2236128E+000, 1.0000000E-010, 9.0000000E+001, 6.4729798E-001, 5.6159786E-015
 9.4544590E-001, 1.9827673E+000,-1.2023361E+000, 1.0000000E-010, 9.0000000E+001, 6.4822200E-001, 6.4116742E-015
 9.5137852E-001, 1.9784602E+000,-1.1816163E+000, 1.0000000E-010, 9.0000000E+001, 6.4716243E-001, 5.5567462E-015
 9.5677191E-001, 1.9744313E+000,-1.1605936E+000, 1.0000000E-010, 9.0000000E+001, 6.4816188E-001, 6.4055263E-015
 9.6270465E-001, 1.9698756E+000,-1.1400480E+000, 1.0000000E-010, 9.0000000E+001, 6.4715416E-001, 5.5863011E-015
 9.6809795E-001, 1.9656220E+000,-1.1192893E+000, 1.0000000E-010, 9.0000000E+001, 6.4826212E-001, 6.5319076E-015
 9.7403058E-001, 1.9608203E+000,-1.0989309E+000, 1.0000000E-010, 9.0000000E+001, 6.4670178E-001, 5.2703564E-015
 9.8535641E-001, 1.9537012E+000,-1.0678864E+000, 1.0000000E-010, 9.0000000E+001, 6.4746028E-001, 5.9023896E-015
 9.9074968E-001, 1.9466021E+000,-1.0380851E+000, 1.0000000E-010, 9.0000000E+001, 6.4819430E-001, 6.5105955E-015
 9.9668228E-001, 1.9413156E+000,-1.0181362E+000, 1.0000000E-010, 9.0000000E+001, 6.4586475E-001, 4.7112772E-015
 1.0020756E+000, 1.9364010E+000,-9.9822683E-001, 1.0000000E-010, 9.0000000E+001, 6.4814701E-001, 6.4721372E-015
 1.0080083E+000, 1.9308761E+000,-9.7850003E-001, 1.0000000E-010, 9.0000000E+001, 6.4652303E-001, 5.1627432E-015
 1.0134017E+000, 1.9257460E+000,-9.5889190E-001, 1.0000000E-010, 9.0000000E+001, 6.4817952E-001, 6.4955661E-015
 1.0193343E+000, 1.9199855E+000,-9.3939942E-001, 1.0000000E-010, 9.0000000E+001, 6.4550606E-001, 4.4731951E-015
 1.0247276E+000, 1.9146427E+000,-9.2010160E-001, 1.0000000E-010, 9.0000000E+001, 6.4818570E-001, 6.4856822E-015
