s,m3/s,m3/s,m/s,,s
Time,"flow_in","flow_out","error","iter","cpu"
 1.6302863E+001, 1.0000823E+000, 1.0125628E+000, 9.6784310E-004, 1.2000000E+001, 4.8839316E+002
 1.6390770E+001, 1.0000766E+000, 1.0170117E+000, 9.8924234E-004, 9.0000000E+000, 4.8949845E+002
 1.6478678E+001, 1.0000726E+000, 1.0211204E+000, 9.4990414E-004, 9.0000000E+000, 4.9059369E+002
 1.6566585E+001, 1.0000710E+000, 1.0246978E+000, 9.0536300E-004, 9.0000000E+000, 4.9162641E+002
 1.6654493E+001, 1.0000718E+000, 1.0275590E+000, 9.6842541E-004, 1.0000000E+001, 4.9266815E+002
 1.6742400E+001, 1.0000753E+000, 1.0294189E+000, 9.9701261E-004, 1.5000000E+001, 4.9378751E+002
 1.6830308E+001, 1.0000830E+000, 1.0298356E+000, 9.9950258E-004, 2.3000000E+001, 4.9508261E+002
 1.6918215E+001, 1.0000948E+000, 1.0290724E+000, 9.9974747E-004, 1.5000000E+001, 4.9630811E+002
 1.7006123E+001, 1.0001088E+000, 1.0275051E+000, 9.9530666E-004, 1.2000000E+001, 4.9743753E+002
 1.7094031E+001, 1.0001242E+000, 1.0254186E+000, 9.4411718E-004, 1.0000000E+001, 4.9853159E+002
 1.7181938E+001, 1.0001401E+000, 1.0229786E+000, 8.5768009E-004, 1.0000000E+001, 4.9958759E+002
 1.7269846E+001, 1.0001552E+000, 1.0202798E+000, 8.3415541E-004, 1.0000000E+001, 5.0063809E+002
 1.7357753E+001, 1.0001682E+000, 1.0174171E+000, 9.8127716E-004, 9.0000000E+000, 5.0165225E+002
 1.7445661E+001, 1.0001777E+000, 1.0145328E+000, 9.8856076E-004, 8.0000000E+000, 5.0269620E+002
 1.7533568E+001, 1.0001828E+000, 1.0117707E+000, 9.5227389E-004, 9.0000000E+000, 5.0377448E+002
 1.7621476E+001, 1.0001832E+000, 1.0091655E+000, 9.9528949E-004, 9.0000000E+000, 5.0482453E+002
 1.7709383E+001, 1.0001803E+000, 1.0067573E+000, 9.8300168E-004, 9.0000000E+000, 5.0587363E+002
 1.7797291E+001, 1.0001757E+000, 1.0045512E+000, 9.9491026E-004, 1.0000000E+001, 5.0692151E+002
 1.7885198E+001, 1.0001700E+000, 1.0025294E+000, 9.9342191E-004, 1.2000000E+001, 5.0801969E+002
 1.7973106E+001, 1.0001623E+000, 1.0007675E+000, 9.7378057E-004, 1.1000000E+001, 5.0910596E+002
 1.8061014E+001, 1.0001516E+000, 9.9929847E-001, 9.6993834E-004, 1.1000000E+001, 5.1017102E+002
 1.8148921E+001, 1.0001371E+000, 9.9813713E-001, 9.1024019E-004, 1.0000000E+001, 5.1128437E+002
 1.8236829E+001, 1.0001182E+000, 9.9723483E-001, 9.4536782E-004, 1.0000000E+001, 5.1235782E+002
 1.8324736E+001, 1.0000951E+000, 9.9651775E-001, 8.9796420E-004, 1.0000000E+001, 5.1343009E+002
 1.8412644E+001, 1.0000687E+000, 9.9596011E-001, 9.3073145E-004, 8.0000000E+000, 5.1446457E+002
 1.8500551E+001, 1.0000396E+000, 9.9544077E-001, 8.9033864E-004, 8.0000000E+000, 5.1546805E+002
 1.8588459E+001, 1.0000084E+000, 9.9488663E-001, 7.8856680E-004, 8.0000000E+000, 5.1647598E+002
 1.8676366E+001, 9.9997446E-001, 9.9427996E-001, 7.7986380E-004, 8.0000000E+000, 5.1747867E+002
 1.8764274E+001, 9.9993782E-001, 9.9366221E-001, 8.5171427E-004, 8.0000000E+000, 5.1848282E+002
 1.8852181E+001, 9.9989784E-001, 9.9312531E-001, 9.7271006E-004, 8.0000000E+000, 5.1948184E+002
 1.8940089E+001, 9.9985540E-001, 9.9269758E-001, 8.6859455E-004, 1.0000000E+001, 5.2050785E+002
 1.9027997E+001, 9.9981291E-001, 9.9229909E-001, 9.9954943E-004, 2.2000000E+001, 5.2170645E+002
 1.9115904E+001, 9.9980615E-001, 9.9096503E-001, 9.9941542E-004, 1.0400000E+002, 5.2543796E+002
 1.9203812E+001, 9.9980533E-001, 9.8998523E-001, 9.7761017E-004, 1.0000000E+001, 5.2648899E+002
 1.9291719E+001, 9.9981115E-001, 9.8900222E-001, 9.4288154E-004, 9.0000000E+000, 5.2757810E+002
 1.9379627E+001, 9.9982431E-001, 9.8793288E-001, 8.8810746E-004, 9.0000000E+000, 5.2860398E+002
 1.9467534E+001, 9.9984343E-001, 9.8698157E-001, 8.1827061E-004, 8.0000000E+000, 5.2962064E+002
 1.9555442E+001, 9.9986670E-001, 9.8618551E-001, 7.8502550E-004, 8.0000000E+000, 5.3065616E+002
 1.9643349E+001, 9.9989234E-001, 9.8549634E-001, 8.3381249E-004, 8.0000000E+000, 5.3167124E+002
 1.9731257E+001, 9.9991844E-001, 9.8480657E-001, 8.0704679E-004, 1.0000000E+001, 5.3272440E+002
 1.9819164E+001, 9.9994228E-001, 9.8402379E-001, 8.9485558E-004, 1.0000000E+001, 5.3377817E+002
 1.9907072E+001, 9.9995942E-001, 9.8293974E-001, 8.9116803E-004, 1.2000000E+001, 5.3489847E+002
 1.9994980E+001, 9.9996701E-001, 9.8135725E-001, 9.6433365E-004, 1.2000000E+001, 5.3601816E+002
 2.0082887E+001, 9.9996357E-001, 9.7928321E-001, 9.6433091E-004, 1.4000000E+001, 5.3721036E+002
 2.0170795E+001, 9.9995271E-001, 9.7689055E-001, 9.9188021E-004, 1.6000000E+001, 5.3850394E+002
 2.0258702E+001, 9.9994225E-001, 9.7468174E-001, 9.8922295E-004, 2.1000000E+001, 5.3997458E+002
 2.0346610E+001, 9.9993998E-001, 9.7310197E-001, 9.9404324E-004, 2.5000000E+001, 5.4152902E+002
 2.0434517E+001, 9.9994479E-001, 9.7228313E-001, 9.9724927E-004, 2.4000000E+001, 5.4308023E+002
 2.0522425E+001, 9.9995125E-001, 9.7204017E-001, 9.8953726E-004, 2.1000000E+001, 5.4456705E+002
 2.0610332E+001, 9.9995566E-001, 9.7215528E-001, 9.8156808E-004, 1.7000000E+001, 5.4590592E+002
 2.0698240E+001, 9.9995702E-001, 9.7251648E-001, 9.9738598E-004, 1.3000000E+001, 5.4709177E+002
 2.0786147E+001, 9.9995483E-001, 9.7306001E-001, 9.5438600E-004, 1.3000000E+001, 5.4823593E+002
 2.0874055E+001, 9.9994984E-001, 9.7370509E-001, 9.8507659E-004, 1.0000000E+001, 5.4932614E+002
 2.0961963E+001, 9.9994335E-001, 9.7438848E-001, 9.6046644E-004, 1.0000000E+001, 5.5055265E+002
 2.1049870E+001, 9.9993572E-001, 9.7504085E-001, 9.4478756E-004, 1.2000000E+001, 5.5168192E+002
 2.1137778E+001, 9.9992828E-001, 9.7568693E-001, 9.9692288E-004, 1.0000000E+001, 5.5283933E+002
 2.1225685E+001, 9.9992198E-001, 9.7645978E-001, 9.3465996E-004, 1.0000000E+001, 5.5389255E+002
 2.1313593E+001, 9.9991640E-001, 9.7733499E-001, 9.3410441E-004, 8.0000000E+000, 5.5491721E+002
 2.1401500E+001, 9.9991144E-001, 9.7836475E-001, 9.2195814E-004, 8.0000000E+000, 5.5592600E+002
