s,Pa,Pa,Pa,C,C,C,kg/m3,kg/m3,kg/m3
Time,"Pres 1","Pres 2","Pres 3","Temp 1","Temp 2","Temp 3","Dens 1","Dens 2","Dens 3"
 5.1624183E+001, 4.1931946E+004, 4.1931947E+004, 4.1931947E+004, 5.0113094E+001, 5.0165025E+001, 4.9181009E+001, 1.5324734E+000, 1.5322272E+000, 1.5369048E+000
 5.2256638E+001, 4.2443459E+004, 4.2443460E+004, 4.2443461E+004, 5.0448307E+001, 5.0490332E+001, 4.9562492E+001, 1.5363520E+000, 1.5361525E+000, 1.5405691E+000
 5.2810037E+001, 4.2955468E+004, 4.2955469E+004, 4.2955470E+004, 5.0781043E+001, 5.0815049E+001, 4.9988365E+001, 1.5402398E+000, 1.5400782E+000, 1.5440181E+000
 5.3442492E+001, 4.3467995E+004, 4.3467995E+004, 4.3467996E+004, 5.1112017E+001, 5.1139131E+001, 5.0415024E+001, 1.5441334E+000, 1.5440043E+000, 1.5474596E+000
 5.4074948E+001, 4.4015239E+004, 4.4015240E+004, 4.4015241E+004, 5.1462775E+001, 5.1484112E+001, 5.0851123E+001, 1.5482947E+000, 1.5481929E+000, 1.5512175E+000
 5.4628347E+001, 4.4528792E+004, 4.4528793E+004, 4.4528794E+004, 5.1788628E+001, 5.1806874E+001, 5.1234435E+001, 1.5522075E+000, 1.5521203E+000, 1.5548593E+000
 5.5260802E+001, 4.5042857E+004, 4.5042858E+004, 4.5042859E+004, 5.2112815E+001, 5.2129010E+001, 5.1590207E+001, 1.5561257E+000, 1.5560482E+000, 1.5586299E+000
 5.5814201E+001, 4.5557410E+004, 4.5557411E+004, 4.5557412E+004, 5.2436239E+001, 5.2450483E+001, 5.1926298E+001, 1.5600451E+000, 1.5599768E+000, 1.5624923E+000
 5.6446656E+001, 4.6072471E+004, 4.6072472E+004, 4.6072473E+004, 5.2758370E+001, 5.2771241E+001, 5.2250657E+001, 1.5639681E+000, 1.5639063E+000, 1.5664083E+000
 5.7000055E+001, 4.6588018E+004, 4.6588019E+004, 4.6588020E+004, 5.3079367E+001, 5.3091287E+001, 5.2571291E+001, 1.5678942E+000, 1.5678369E+000, 1.5703398E+000
 5.7632510E+001, 4.7104074E+004, 4.7104076E+004, 4.7104077E+004, 5.3399665E+001, 5.3410527E+001, 5.2890120E+001, 1.5718211E+000, 1.5717688E+000, 1.5742776E+000
 5.8264966E+001, 4.7655077E+004, 4.7655078E+004, 4.7655079E+004, 5.3740949E+001, 5.3750136E+001, 5.3227928E+001, 1.5760090E+000, 1.5759647E+000, 1.5784862E+000
 5.8818364E+001, 4.8172151E+004, 4.8172152E+004, 4.8172153E+004, 5.4060594E+001, 5.4067002E+001, 5.3543972E+001, 1.5799341E+000, 1.5799031E+000, 1.5824325E+000
 5.9450820E+001, 4.8689734E+004, 4.8689735E+004, 4.8689735E+004, 5.4377952E+001, 5.4380166E+001, 5.3833602E+001, 1.5838678E+000, 1.5838571E+000, 1.5865046E+000
 6.0004219E+001, 4.9207799E+004, 4.9207800E+004, 4.9207800E+004, 5.4693309E+001, 5.4689488E+001, 5.4031108E+001, 1.5878089E+000, 1.5878274E+000, 1.5910226E+000
 6.0636674E+001, 4.9655336E+004, 4.9655351E+004, 4.9655357E+004, 5.4963751E+001, 5.4952589E+001, 5.4115679E+001, 1.5912171E+000, 1.5912712E+000, 1.5953407E+000
 6.1269130E+001, 4.9840314E+004, 4.9840323E+004, 4.9840326E+004, 5.5068139E+001, 5.5051776E+001, 5.4054288E+001, 1.5926600E+000, 1.5927394E+000, 1.5975949E+000
 6.1822528E+001, 4.9847005E+004, 4.9847006E+004, 4.9847006E+004, 5.5061784E+001, 5.5042669E+001, 5.3982819E+001, 1.5927613E+000, 1.5928541E+000, 1.5980146E+000
 6.2454984E+001, 4.9845968E+004, 4.9845968E+004, 4.9845969E+004, 5.5052835E+001, 5.5031466E+001, 5.3957062E+001, 1.5927938E+000, 1.5928975E+000, 1.5981295E+000
 6.3008382E+001, 4.9845162E+004, 4.9845162E+004, 4.9845163E+004, 5.5047039E+001, 5.5022252E+001, 5.3946811E+001, 1.5928134E+000, 1.5929337E+000, 1.5981710E+000
 6.3640838E+001, 4.9844540E+004, 4.9844540E+004, 4.9844542E+004, 5.5043812E+001, 5.5011000E+001, 5.3943570E+001, 1.5928225E+000, 1.5929818E+000, 1.5981803E+000
 6.4273293E+001, 4.9844025E+004, 4.9844024E+004, 4.9844027E+004, 5.5042207E+001, 5.4986891E+001, 5.3964878E+001, 1.5928249E+000, 1.5930934E+000, 1.5980707E+000
 6.4826692E+001, 4.9843647E+004, 4.9843645E+004, 4.9843650E+004, 5.5040604E+001, 5.4950645E+001, 5.4004510E+001, 1.5928287E+000, 1.5932654E+000, 1.5978732E+000
 6.5459148E+001, 4.9843349E+004, 4.9843346E+004, 4.9843352E+004, 5.5038232E+001, 5.4902492E+001, 5.4038077E+001, 1.5928371E+000, 1.5934961E+000, 1.5977061E+000
 6.6012546E+001, 4.9843110E+004, 4.9843107E+004, 4.9843113E+004, 5.5035253E+001, 5.4848126E+001, 5.4067173E+001, 1.5928490E+000, 1.5937577E+000, 1.5975615E+000
 6.6645002E+001, 4.9842920E+004, 4.9842917E+004, 4.9842923E+004, 5.5031857E+001, 5.4801075E+001, 5.4092753E+001, 1.5928635E+000, 1.5939844E+000, 1.5974346E+000
 6.7277457E+001, 4.9842757E+004, 4.9842753E+004, 4.9842759E+004, 5.5028373E+001, 5.4766855E+001, 5.4119316E+001, 1.5928787E+000, 1.5941490E+000, 1.5973032E+000
 6.7830856E+001, 4.9842632E+004, 4.9842628E+004, 4.9842634E+004, 5.5025799E+001, 5.4743890E+001, 5.4144091E+001, 1.5928898E+000, 1.5942593E+000, 1.5971810E+000
 6.8463311E+001, 4.9842528E+004, 4.9842523E+004, 4.9842529E+004, 5.5024184E+001, 5.4733148E+001, 5.4160215E+001, 1.5928966E+000, 1.5943104E+000, 1.5971012E+000
 6.9016710E+001, 4.9842437E+004, 4.9842432E+004, 4.9842437E+004, 5.5023295E+001, 5.4736845E+001, 5.4168361E+001, 1.5928999E+000, 1.5942915E+000, 1.5970605E+000
 6.9649165E+001, 4.9842357E+004, 4.9842352E+004, 4.9842357E+004, 5.5022711E+001, 5.4745922E+001, 5.4169763E+001, 1.5929019E+000, 1.5942465E+000, 1.5970528E+000
 7.0202564E+001, 4.9842284E+004, 4.9842279E+004, 4.9842284E+004, 5.5022324E+001, 5.4759714E+001, 5.4164395E+001, 1.5929030E+000, 1.5941787E+000, 1.5970782E+000
 7.0835020E+001, 4.9842217E+004, 4.9842211E+004, 4.9842216E+004, 5.5022404E+001, 5.4760028E+001, 5.4148176E+001, 1.5929019E+000, 1.5941765E+000, 1.5971566E+000
 7.1467475E+001, 4.9842149E+004, 4.9842142E+004, 4.9842147E+004, 5.5022782E+001, 5.4724165E+001, 5.4113240E+001, 1.5928994E+000, 1.5943501E+000, 1.5973264E+000
 7.2020874E+001, 4.9842088E+004, 4.9842081E+004, 4.9842086E+004, 5.5022593E+001, 5.4656280E+001, 5.4069560E+001, 1.5928996E+000, 1.5946797E+000, 1.5975390E+000
 7.2653329E+001, 4.9842030E+004, 4.9842022E+004, 4.9842028E+004, 5.5021563E+001, 5.4570018E+001, 5.4030430E+001, 1.5929040E+000, 1.5950988E+000, 1.5977294E+000
 7.3206728E+001, 4.9841973E+004, 4.9841964E+004, 4.9841971E+004, 5.5020299E+001, 5.4504405E+001, 5.4007776E+001, 1.5929096E+000, 1.5954176E+000, 1.5978395E+000
 7.3839183E+001, 4.9841917E+004, 4.9841909E+004, 4.9841915E+004, 5.5018712E+001, 5.4464354E+001, 5.3998532E+001, 1.5929167E+000, 1.5956121E+000, 1.5978840E+000
 7.4471639E+001, 4.9841860E+004, 4.9841851E+004, 4.9841857E+004, 5.5016839E+001, 5.4446500E+001, 5.3992489E+001, 1.5929252E+000, 1.5956984E+000, 1.5979129E+000
 7.5025037E+001, 4.9841808E+004, 4.9841800E+004, 4.9841806E+004, 5.5015915E+001, 5.4451789E+001, 5.3988747E+001, 1.5929291E+000, 1.5956721E+000, 1.5979307E+000
 7.5657493E+001, 4.9841758E+004, 4.9841750E+004, 4.9841756E+004, 5.5015597E+001, 5.4465009E+001, 5.3990865E+001, 1.5929301E+000, 1.5956072E+000, 1.5979198E+000
 7.6210892E+001, 4.9841711E+004, 4.9841703E+004, 4.9841709E+004, 5.5015645E+001, 5.4482391E+001, 5.3995511E+001, 1.5929294E+000, 1.5955220E+000, 1.5978966E+000
 7.6843347E+001, 4.9841666E+004, 4.9841659E+004, 4.9841665E+004, 5.5015269E+001, 5.4502811E+001, 5.3992644E+001, 1.5929307E+000, 1.5954221E+000, 1.5979101E+000
 7.7475803E+001, 4.9841621E+004, 4.9841615E+004, 4.9841621E+004, 5.5013672E+001, 5.4525909E+001, 5.3975230E+001, 1.5929380E+000, 1.5953092E+000, 1.5979947E+000
 7.8029201E+001, 4.9841581E+004, 4.9841575E+004, 4.9841581E+004, 5.5011631E+001, 5.4546766E+001, 5.3951852E+001, 1.5929475E+000, 1.5952072E+000, 1.5981085E+000
 7.8661657E+001, 4.9841543E+004, 4.9841538E+004, 4.9841543E+004, 5.4995224E+001, 5.4566588E+001, 5.3925150E+001, 1.5930268E+000, 1.5951104E+000, 1.5982386E+000
 7.9215055E+001, 4.9841506E+004, 4.9841502E+004, 4.9841507E+004, 5.4936035E+001, 5.4585088E+001, 5.3898313E+001, 1.5933138E+000, 1.5950199E+000, 1.5983693E+000
 7.9847511E+001, 4.9841471E+004, 4.9841468E+004, 4.9841473E+004, 5.4837180E+001, 5.4601481E+001, 5.3875442E+001, 1.5937937E+000, 1.5949398E+000, 1.5984808E+000
 8.0400910E+001, 4.9841438E+004, 4.9841435E+004, 4.9841440E+004, 5.4730669E+001, 5.4615808E+001, 5.3859528E+001, 1.5943110E+000, 1.5948697E+000, 1.5985582E+000
 8.1033365E+001, 4.9841406E+004, 4.9841404E+004, 4.9841409E+004, 5.4640110E+001, 5.4627647E+001, 5.3850734E+001, 1.5947512E+000, 1.5948118E+000, 1.5986009E+000
