s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 1.9843292E+001, 0.0000000E+000,-2.3910469E-005, 2.1046367E-004,-2.0438128E-005, 0.0000000E+000, 4.8855969E-003, 0.0000000E+000, 5.0540562E-003, 5.0517120E-003, 0.0000000E+000, 4.0000000E-005, 1.5473419E+004
 2.0475748E+001, 0.0000000E+000,-2.4086960E-005, 2.2549256E-004,-2.0386598E-005, 0.0000000E+000, 4.8914967E-003, 0.0000000E+000, 5.0743984E-003, 5.0725157E-003, 0.0000000E+000, 4.0000000E-005, 1.5988990E+004
 2.1029146E+001, 0.0000000E+000,-2.4189908E-005, 2.3946281E-004,-2.0433046E-005, 0.0000000E+000, 4.8968951E-003, 0.0000000E+000, 5.0934124E-003, 5.0917349E-003, 0.0000000E+000, 4.0000000E-005, 1.6440616E+004
 2.1661602E+001, 0.0000000E+000,-2.4393240E-005, 2.5367606E-004,-2.0356927E-005, 0.0000000E+000, 4.9025081E-003, 0.0000000E+000, 5.1128743E-003, 5.1114340E-003, 0.0000000E+000, 4.0000000E-005, 1.6957347E+004
 2.2215000E+001, 0.0000000E+000,-2.4587409E-005, 2.6788870E-004,-2.0296861E-005, 0.0000000E+000, 4.9080957E-003, 0.0000000E+000, 5.1320643E-003, 5.1311002E-003, 0.0000000E+000, 4.0000000E-005, 1.7409998E+004
 2.2847456E+001, 0.0000000E+000,-2.4660816E-005, 2.8184530E-004,-2.0383265E-005, 0.0000000E+000, 4.9134948E-003, 0.0000000E+000, 5.1511354E-003, 5.1502960E-003, 0.0000000E+000, 4.0000000E-005, 1.7927887E+004
 2.3400854E+001, 0.0000000E+000,-2.4725201E-005, 2.9577837E-004,-2.0452225E-005, 0.0000000E+000, 4.9189378E-003, 0.0000000E+000, 5.1706661E-003, 5.1695388E-003, 0.0000000E+000, 4.0000000E-005, 1.8381546E+004
 2.4033310E+001, 0.0000000E+000,-2.4895486E-005, 3.0994058E-004,-2.0343650E-005, 0.0000000E+000, 4.9245205E-003, 0.0000000E+000, 5.1901409E-003, 5.1892219E-003, 0.0000000E+000, 4.0000000E-005, 1.8900598E+004
 2.4665766E+001, 0.0000000E+000,-2.5017645E-005, 3.2489520E-004,-2.0273278E-005, 0.0000000E+000, 4.9303981E-003, 0.0000000E+000, 5.2107477E-003, 5.2100024E-003, 0.0000000E+000, 4.0000000E-005, 1.9420269E+004
 2.5219164E+001, 0.0000000E+000,-2.5191777E-005, 3.3895644E-004,-2.0117093E-005, 0.0000000E+000, 4.9359947E-003, 0.0000000E+000, 5.2302142E-003, 5.2296423E-003, 0.0000000E+000, 4.0000000E-005, 1.9875492E+004
 2.5851620E+001, 0.0000000E+000,-2.5259462E-005, 3.5272752E-004,-2.0099911E-005, 0.0000000E+000, 4.9413591E-003, 0.0000000E+000, 5.2488649E-003, 5.2487273E-003, 0.0000000E+000, 4.0000000E-005, 2.0396319E+004
 2.6405018E+001, 0.0000000E+000,-2.5329860E-005, 3.6648149E-004,-2.0094034E-005, 0.0000000E+000, 4.9467357E-003, 0.0000000E+000, 5.2679804E-003, 5.2677933E-003, 0.0000000E+000, 4.0000000E-005, 2.0852543E+004
 2.7037474E+001, 0.0000000E+000,-2.5511971E-005, 3.8048927E-004,-1.9977158E-005, 0.0000000E+000, 4.9522927E-003, 0.0000000E+000, 5.2880724E-003, 5.2872928E-003, 0.0000000E+000, 4.0000000E-005, 2.1374522E+004
 2.7669930E+001, 0.0000000E+000,-2.5641901E-005, 3.9535930E-004,-1.9986365E-005, 0.0000000E+000, 4.9580681E-003, 0.0000000E+000, 5.3091060E-003, 5.3077992E-003, 0.0000000E+000, 4.0000000E-005, 2.1897110E+004
 2.8223328E+001, 0.0000000E+000,-2.5810303E-005, 4.0947171E-004,-1.9970621E-005, 0.0000000E+000, 4.9636206E-003, 0.0000000E+000, 5.3291809E-003, 5.3273114E-003, 0.0000000E+000, 4.0000000E-005, 2.2354882E+004
 2.8855783E+001, 0.0000000E+000,-2.5852752E-005, 4.2339544E-004,-2.0137771E-005, 0.0000000E+000, 4.9690228E-003, 0.0000000E+000, 5.3490283E-003, 5.3464277E-003, 0.0000000E+000, 4.0000000E-005, 2.2878625E+004
 2.9409182E+001, 0.0000000E+000,-2.5879292E-005, 4.3733002E-004,-2.0334551E-005, 0.0000000E+000, 4.9743709E-003, 0.0000000E+000, 5.3685623E-003, 5.3654871E-003, 0.0000000E+000, 4.0000000E-005, 2.3337397E+004
