s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1,ZONE_2,ZONE_3
 4.6948552E+000, 0.0000000E+000,-9.6657590E-002,-5.0810523E-001,-9.0355947E-002, 0.0000000E+000, 1.1775165E+001, 0.0000000E+000, 1.1088316E+001, 1.1080046E+001, 0.0000000E+000, 1.0000000E-001, 9.0313593E+002,-1.1736105E+000,-1.1714425E+000
 4.8989797E+000, 0.0000000E+000,-1.0146613E-001,-5.0810585E-001,-9.5567256E-002, 0.0000000E+000, 1.1771185E+001, 0.0000000E+000, 1.1074332E+001, 1.1066045E+001, 0.0000000E+000, 1.0000000E-001, 9.4318861E+002,-1.1734901E+000,-1.1711990E+000
 5.1031036E+000, 0.0000000E+000,-1.0356330E-001,-5.0810658E-001,-1.0083401E-001, 0.0000000E+000, 1.1767726E+001, 0.0000000E+000, 1.1060283E+001, 1.1055222E+001, 0.0000000E+000, 1.0000000E-001, 9.8322773E+002,-1.1733685E+000,-1.1709506E+000
 5.3072276E+000, 0.0000000E+000,-1.0835939E-001,-5.0810728E-001,-1.0615519E-001, 0.0000000E+000, 1.1764250E+001, 0.0000000E+000, 1.1049954E+001, 1.1041628E+001, 0.0000000E+000, 1.0000000E-001, 1.0232569E+003,-1.1732458E+000,-1.1706997E+000
 5.5113521E+000, 0.0000000E+000,-1.1314843E-001,-5.0810783E-001,-1.1152678E-001, 0.0000000E+000, 1.1760217E+001, 0.0000000E+000, 1.1036039E+001, 1.1027434E+001, 0.0000000E+000, 1.0000000E-001, 1.0632723E+003,-1.1731225E+000,-1.1704492E+000
 5.7154760E+000, 0.0000000E+000,-1.1528711E-001,-5.0810817E-001,-1.1694648E-001, 0.0000000E+000, 1.1756691E+001, 0.0000000E+000, 1.1022064E+001, 1.1016349E+001, 0.0000000E+000, 1.0000000E-001, 1.1032740E+003,-1.1729990E+000,-1.1702021E+000
 5.9196000E+000, 0.0000000E+000,-1.2006353E-001,-5.0810826E-001,-1.2241373E-001, 0.0000000E+000, 1.1753144E+001, 0.0000000E+000, 1.1011480E+001, 1.1002559E+001, 0.0000000E+000, 1.0000000E-001, 1.1432655E+003,-1.1728759E+000,-1.1699606E+000
 6.1237245E+000, 0.0000000E+000,-1.2483282E-001,-5.0810815E-001,-1.2792491E-001, 0.0000000E+000, 1.1749054E+001, 0.0000000E+000, 1.0997139E+001, 1.0988188E+001, 0.0000000E+000, 1.0000000E-001, 1.1832431E+003,-1.1727534E+000,-1.1697260E+000
 6.3278484E+000, 0.0000000E+000,-1.2705890E-001,-5.0810790E-001,-1.3347815E-001, 0.0000000E+000, 1.1745450E+001, 0.0000000E+000, 1.0982745E+001, 1.0976805E+001, 0.0000000E+000, 1.0000000E-001, 1.2232067E+003,-1.1726314E+000,-1.1694982E+000
 6.5319729E+000, 0.0000000E+000,-1.3181536E-001,-5.0810757E-001,-1.3907331E-001, 0.0000000E+000, 1.1741831E+001, 0.0000000E+000, 1.0971846E+001, 1.0962834E+001, 0.0000000E+000, 1.0000000E-001, 1.2631598E+003,-1.1725097E+000,-1.1692760E+000
 6.7360969E+000, 0.0000000E+000,-1.3656464E-001,-5.0810725E-001,-1.4470719E-001, 0.0000000E+000, 1.1737693E+001, 0.0000000E+000, 1.0957350E+001, 1.0948314E+001, 0.0000000E+000, 1.0000000E-001, 1.3030989E+003,-1.1723882E+000,-1.1690572E+000
 6.9402208E+000, 0.0000000E+000,-1.3867201E-001,-5.0810700E-001,-1.5037811E-001, 0.0000000E+000, 1.1734068E+001, 0.0000000E+000, 1.0942810E+001, 1.0936911E+001, 0.0000000E+000, 1.0000000E-001, 1.3430238E+003,-1.1722667E+000,-1.1688391E+000
 7.1443453E+000, 0.0000000E+000,-1.4340840E-001,-5.0810687E-001,-1.5608607E-001, 0.0000000E+000, 1.1730433E+001, 0.0000000E+000, 1.0931909E+001, 1.0922832E+001, 0.0000000E+000, 1.0000000E-001, 1.3829382E+003,-1.1721451E+000,-1.1686191E+000
 7.3484693E+000, 0.0000000E+000,-1.4813754E-001,-5.0810685E-001,-1.6182779E-001, 0.0000000E+000, 1.1726265E+001, 0.0000000E+000, 1.0917283E+001, 1.0908192E+001, 0.0000000E+000, 1.0000000E-001, 1.4228384E+003,-1.1720233E+000,-1.1683951E+000
 7.5525932E+000, 0.0000000E+000,-1.5016317E-001,-5.0810694E-001,-1.6760166E-001, 0.0000000E+000, 1.1722625E+001, 0.0000000E+000, 1.0902621E+001, 1.0896753E+001, 0.0000000E+000, 1.0000000E-001, 1.4627244E+003,-1.1719014E+000,-1.1681659E+000
 7.7567177E+000, 0.0000000E+000,-1.5487936E-001,-5.0810711E-001,-1.7340789E-001, 0.0000000E+000, 1.1718976E+001, 0.0000000E+000, 1.0891694E+001, 1.0882582E+001, 0.0000000E+000, 1.0000000E-001, 1.5025998E+003,-1.1717796E+000,-1.1679314E+000
 7.9608417E+000, 0.0000000E+000,-1.5958826E-001,-5.0810732E-001,-1.7924320E-001, 0.0000000E+000, 1.1714783E+001, 0.0000000E+000, 1.0876964E+001, 1.0867844E+001, 0.0000000E+000, 1.0000000E-001, 1.5424610E+003,-1.1716578E+000,-1.1676924E+000
 8.1649656E+000, 0.0000000E+000,-1.6160438E-001,-5.0810752E-001,-1.8510612E-001, 0.0000000E+000, 1.1711116E+001, 0.0000000E+000, 1.0862205E+001, 1.0856298E+001, 0.0000000E+000, 1.0000000E-001, 1.5823079E+003,-1.1715362E+000,-1.1674507E+000
 8.3690901E+000, 0.0000000E+000,-1.6630025E-001,-5.0810769E-001,-1.9099700E-001, 0.0000000E+000, 1.1707440E+001, 0.0000000E+000, 1.0851170E+001, 1.0842035E+001, 0.0000000E+000, 1.0000000E-001, 1.6221441E+003,-1.1714147E+000,-1.1672081E+000
 8.5732145E+000, 0.0000000E+000,-1.7098869E-001,-5.0810779E-001,-1.9691264E-001, 0.0000000E+000, 1.1703075E+001, 0.0000000E+000, 1.0836095E+001, 1.0827066E+001, 0.0000000E+000, 1.0000000E-001, 1.6619657E+003,-1.1712934E+000,-1.1669667E+000
