s,kg,kg,kg,kg,kg
Time,Total,NITROGEN,OXYGEN,CARBON DIOXIDE,WATER VAPOR
 8.4669983E+001, 9.5706720E-003, 7.2973513E-003, 2.2108008E-003, 5.6607186E-006, 5.6859210E-005
 8.5223381E+001, 9.5706720E-003, 7.2973513E-003, 2.2108008E-003, 5.6607186E-006, 5.6859210E-005
 8.5855835E+001, 9.5706721E-003, 7.2973513E-003, 2.2108008E-003, 5.6607186E-006, 5.6859210E-005
 8.6409241E+001, 9.5706722E-003, 7.2973514E-003, 2.2108008E-003, 5.6607187E-006, 5.6859210E-005
 8.7041695E+001, 9.5706723E-003, 7.2973515E-003, 2.2108009E-003, 5.6607188E-006, 5.6859211E-005
 8.7674149E+001, 9.5706725E-003, 7.2973517E-003, 2.2108009E-003, 5.6607189E-006, 5.6859213E-005
 8.8227547E+001, 9.5706727E-003, 7.2973518E-003, 2.2108009E-003, 5.6607190E-006, 5.6859213E-005
 8.8860001E+001, 9.5706728E-003, 7.2973519E-003, 2.2108010E-003, 5.6607191E-006, 5.6859214E-005
 8.9413399E+001, 9.5706729E-003, 7.2973520E-003, 2.2108010E-003, 5.6607192E-006, 5.6859215E-005
 9.0045853E+001, 9.5706731E-003, 7.2973521E-003, 2.2108010E-003, 5.6607192E-006, 5.6859216E-005
 9.0678314E+001, 9.5706732E-003, 7.2973522E-003, 2.2108011E-003, 5.6607193E-006, 5.6859217E-005
 9.1231712E+001, 9.5706733E-003, 7.2973522E-003, 2.2108011E-003, 5.6607194E-006, 5.6859217E-005
 9.1864166E+001, 9.5706733E-003, 7.2973523E-003, 2.2108011E-003, 5.6607194E-006, 5.6859218E-005
 9.2417564E+001, 9.5706734E-003, 7.2973524E-003, 2.2108011E-003, 5.6607195E-006, 5.6859218E-005
 9.3050018E+001, 9.5706736E-003, 7.2973525E-003, 2.2108011E-003, 5.6607195E-006, 5.6859219E-005
 9.3603416E+001, 9.5706737E-003, 7.2973526E-003, 2.2108012E-003, 5.6607196E-006, 5.6859220E-005
 9.4235878E+001, 9.5706738E-003, 7.2973527E-003, 2.2108012E-003, 5.6607197E-006, 5.6859220E-005
 9.4868332E+001, 9.5706740E-003, 7.2973528E-003, 2.2108012E-003, 5.6607198E-006, 5.6859221E-005
 9.5421730E+001, 9.5706741E-003, 7.2973529E-003, 2.2108013E-003, 5.6607198E-006, 5.6859222E-005
 9.6054184E+001, 9.5706742E-003, 7.2973530E-003, 2.2108013E-003, 5.6607199E-006, 5.6859223E-005
 9.6607582E+001, 9.5706743E-003, 7.2973531E-003, 2.2108013E-003, 5.6607200E-006, 5.6859223E-005
 9.7240036E+001, 9.5706745E-003, 7.2973532E-003, 2.2108014E-003, 5.6607201E-006, 5.6859224E-005
 9.7872490E+001, 9.5706746E-003, 7.2973533E-003, 2.2108014E-003, 5.6607202E-006, 5.6859225E-005
 9.8425896E+001, 9.5706748E-003, 7.2973534E-003, 2.2108014E-003, 5.6607203E-006, 5.6859226E-005
 9.9058350E+001, 9.5706749E-003, 7.2973535E-003, 2.2108015E-003, 5.6607203E-006, 5.6859227E-005
 9.9611748E+001, 9.5706751E-003, 7.2973536E-003, 2.2108015E-003, 5.6607204E-006, 5.6859228E-005
 1.0024420E+002, 9.5706752E-003, 7.2973537E-003, 2.2108015E-003, 5.6607205E-006, 5.6859228E-005
 1.0087666E+002, 9.5706753E-003, 7.2973538E-003, 2.2108015E-003, 5.6607205E-006, 5.6859229E-005
 1.0143005E+002, 9.5706753E-003, 7.2973538E-003, 2.2108016E-003, 5.6607206E-006, 5.6859229E-005
 1.0206252E+002, 9.5706753E-003, 7.2973538E-003, 2.2108016E-003, 5.6607206E-006, 5.6859229E-005
 1.0261591E+002, 9.5706753E-003, 7.2973538E-003, 2.2108016E-003, 5.6607206E-006, 5.6859229E-005
 1.0324837E+002, 9.5706753E-003, 7.2973538E-003, 2.2108015E-003, 5.6607205E-006, 5.6859229E-005
 1.0380177E+002, 9.5706752E-003, 7.2973537E-003, 2.2108015E-003, 5.6607205E-006, 5.6859229E-005
 1.0443422E+002, 9.5706752E-003, 7.2973537E-003, 2.2108015E-003, 5.6607205E-006, 5.6859228E-005
 1.0506667E+002, 9.5706751E-003, 7.2973537E-003, 2.2108015E-003, 5.6607205E-006, 5.6859228E-005
 1.0562007E+002, 9.5706751E-003, 7.2973537E-003, 2.2108015E-003, 5.6607205E-006, 5.6859228E-005
 1.0625253E+002, 9.5706752E-003, 7.2973537E-003, 2.2108015E-003, 5.6607205E-006, 5.6859228E-005
 1.0680593E+002, 9.5706752E-003, 7.2973537E-003, 2.2108015E-003, 5.6607205E-006, 5.6859229E-005
 1.0743839E+002, 9.5706752E-003, 7.2973538E-003, 2.2108015E-003, 5.6607205E-006, 5.6859229E-005
 1.0807084E+002, 9.5706753E-003, 7.2973538E-003, 2.2108015E-003, 5.6607206E-006, 5.6859229E-005
 1.0862424E+002, 9.5706753E-003, 7.2973538E-003, 2.2108016E-003, 5.6607206E-006, 5.6859229E-005
 1.0925669E+002, 9.5706754E-003, 7.2973539E-003, 2.2108016E-003, 5.6607206E-006, 5.6859230E-005
 1.0981009E+002, 9.5706754E-003, 7.2973539E-003, 2.2108016E-003, 5.6607206E-006, 5.6859230E-005
 1.1044255E+002, 9.5706755E-003, 7.2973539E-003, 2.2108016E-003, 5.6607207E-006, 5.6859230E-005
 1.1107500E+002, 9.5706755E-003, 7.2973540E-003, 2.2108016E-003, 5.6607207E-006, 5.6859230E-005
 1.1162840E+002, 9.5706755E-003, 7.2973540E-003, 2.2108016E-003, 5.6607207E-006, 5.6859231E-005
 1.1226086E+002, 9.5706756E-003, 7.2973540E-003, 2.2108016E-003, 5.6607207E-006, 5.6859231E-005
 1.1281425E+002, 9.5706756E-003, 7.2973540E-003, 2.2108016E-003, 5.6607207E-006, 5.6859231E-005
 1.1344671E+002, 9.5706756E-003, 7.2973541E-003, 2.2108016E-003, 5.6607208E-006, 5.6859231E-005
 1.1400011E+002, 9.5706757E-003, 7.2973541E-003, 2.2108016E-003, 5.6607208E-006, 5.6859231E-005
 1.1463257E+002, 9.5706757E-003, 7.2973541E-003, 2.2108016E-003, 5.6607208E-006, 5.6859231E-005
 1.1526502E+002, 9.5706757E-003, 7.2973541E-003, 2.2108016E-003, 5.6607208E-006, 5.6859232E-005
 1.1581842E+002, 9.5706757E-003, 7.2973541E-003, 2.2108016E-003, 5.6607208E-006, 5.6859232E-005
 1.1645087E+002, 9.5706757E-003, 7.2973541E-003, 2.2108017E-003, 5.6607208E-006, 5.6859232E-005
 1.1700427E+002, 9.5706758E-003, 7.2973542E-003, 2.2108017E-003, 5.6607208E-006, 5.6859232E-005
 1.1763673E+002, 9.5706758E-003, 7.2973542E-003, 2.2108017E-003, 5.6607209E-006, 5.6859232E-005
 1.1826919E+002, 9.5706759E-003, 7.2973542E-003, 2.2108017E-003, 5.6607209E-006, 5.6859232E-005
 1.1882259E+002, 9.5706759E-003, 7.2973543E-003, 2.2108017E-003, 5.6607209E-006, 5.6859233E-005
 1.1945504E+002, 9.5706760E-003, 7.2973543E-003, 2.2108017E-003, 5.6607210E-006, 5.6859233E-005
 1.2000844E+002, 9.5706760E-003, 7.2973543E-003, 2.2108017E-003, 5.6607210E-006, 5.6859233E-005
 1.2064089E+002, 9.5706760E-003, 7.2973544E-003, 2.2108017E-003, 5.6607210E-006, 5.6859234E-005
 1.2127335E+002, 9.5706761E-003, 7.2973544E-003, 2.2108017E-003, 5.6607210E-006, 5.6859234E-005
 1.2182674E+002, 9.5706761E-003, 7.2973544E-003, 2.2108017E-003, 5.6607210E-006, 5.6859234E-005
 1.2245921E+002, 9.5706761E-003, 7.2973544E-003, 2.2108017E-003, 5.6607210E-006, 5.6859234E-005
 1.2301260E+002, 9.5706760E-003, 7.2973544E-003, 2.2108017E-003, 5.6607210E-006, 5.6859233E-005
 1.2364506E+002, 9.5706760E-003, 7.2973543E-003, 2.2108017E-003, 5.6607210E-006, 5.6859233E-005
 1.2427751E+002, 9.5706759E-003, 7.2973543E-003, 2.2108017E-003, 5.6607209E-006, 5.6859233E-005
 1.2483091E+002, 9.5706758E-003, 7.2973542E-003, 2.2108017E-003, 5.6607209E-006, 5.6859232E-005
 1.2546336E+002, 9.5706758E-003, 7.2973541E-003, 2.2108017E-003, 5.6607208E-006, 5.6859232E-005
