s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 1.1162840E+002, 0.0000000E+000,-9.0613736E-008,-1.0507895E-019, 1.7660489E-007, 0.0000000E+000, 3.5135983E-008, 0.0000000E+000, 1.2403912E-007, 1.2112714E-007, 0.0000000E+000, 0.0000000E+000, 4.9838678E+004
 1.1226086E+002, 0.0000000E+000,-1.0011851E-007,-1.0506912E-019, 1.7855494E-007, 0.0000000E+000, 3.2063795E-008, 0.0000000E+000, 1.1365390E-007, 1.1050022E-007, 0.0000000E+000, 0.0000000E+000, 4.9838681E+004
 1.1281425E+002, 0.0000000E+000,-1.0841189E-007,-1.0505868E-019, 1.7294915E-007, 0.0000000E+000, 2.6368126E-008, 0.0000000E+000, 9.4277717E-008, 9.0905385E-008, 0.0000000E+000, 0.0000000E+000, 4.9838684E+004
 1.1344671E+002, 0.0000000E+000,-1.1476988E-007,-1.0504836E-019, 1.6017621E-007, 0.0000000E+000, 1.8656457E-008, 0.0000000E+000, 6.7376623E-008, 6.4062792E-008, 0.0000000E+000, 0.0000000E+000, 4.9838686E+004
 1.1400011E+002, 0.0000000E+000,-1.1855912E-007,-1.0503717E-019, 1.4201996E-007, 0.0000000E+000, 9.6989757E-009, 0.0000000E+000, 3.6126839E-008, 3.3159815E-008, 0.0000000E+000, 0.0000000E+000, 4.9838687E+004
 1.1463257E+002, 0.0000000E+000,-1.1948712E-007,-1.0502461E-019, 1.2046669E-007, 0.0000000E+000, 6.3864835E-010, 0.0000000E+000, 4.1004463E-009, 1.6182173E-009, 0.0000000E+000, 0.0000000E+000, 4.9838687E+004
 1.1526502E+002, 0.0000000E+000,-1.1762840E-007,-1.0500879E-019, 9.6287474E-008, 0.0000000E+000,-8.3887461E-009, 0.0000000E+000,-2.7800450E-008,-2.9729669E-008, 0.0000000E+000, 0.0000000E+000, 4.9838686E+004
 1.1581842E+002, 0.0000000E+000,-1.1344473E-007,-1.0499223E-019, 7.2803379E-008, 0.0000000E+000,-1.6156176E-008, 0.0000000E+000,-5.5319999E-008,-5.6797525E-008, 0.0000000E+000, 0.0000000E+000, 4.9838684E+004
 1.1645087E+002, 0.0000000E+000,-1.0689772E-007,-1.0497794E-019, 4.8619176E-008, 0.0000000E+000,-2.3294128E-008, 0.0000000E+000,-8.0592061E-008,-8.1572677E-008, 0.0000000E+000, 0.0000000E+000, 4.9838682E+004
 1.1700427E+002, 0.0000000E+000,-9.8367547E-008,-1.0496686E-019, 2.4781221E-008, 0.0000000E+000,-2.9464040E-008, 0.0000000E+000,-1.0262300E-007,-1.0305037E-007, 0.0000000E+000, 0.0000000E+000, 4.9838679E+004
 1.1763673E+002, 0.0000000E+000,-8.8352700E-008,-1.0496091E-019, 2.4757508E-009, 0.0000000E+000,-3.4450060E-008, 0.0000000E+000,-1.2040604E-007,-1.2032701E-007, 0.0000000E+000, 0.0000000E+000, 4.9838676E+004
 1.1826919E+002, 0.0000000E+000,-7.6173181E-008,-1.0496309E-019,-2.0275247E-008, 0.0000000E+000,-3.8732141E-008, 0.0000000E+000,-1.3570695E-007,-1.3518057E-007, 0.0000000E+000, 0.0000000E+000, 4.9838672E+004
 1.1882259E+002, 0.0000000E+000,-6.3839347E-008,-1.0497329E-019,-3.9915241E-008, 0.0000000E+000,-4.1636060E-008, 0.0000000E+000,-1.4614299E-007,-1.4539065E-007, 0.0000000E+000, 0.0000000E+000, 4.9838668E+004
 1.1945504E+002, 0.0000000E+000,-5.0526456E-008,-1.0499014E-019,-5.8285946E-008, 0.0000000E+000,-4.3709894E-008, 0.0000000E+000,-1.5364322E-007,-1.5252230E-007, 0.0000000E+000, 0.0000000E+000, 4.9838663E+004
 1.2000844E+002, 0.0000000E+000,-3.6718790E-008,-1.0501182E-019,-7.5237835E-008, 0.0000000E+000,-4.4957832E-008, 0.0000000E+000,-1.5829752E-007,-1.5691446E-007, 0.0000000E+000, 0.0000000E+000, 4.9838659E+004
 1.2064089E+002, 0.0000000E+000,-2.2910082E-008,-1.0503331E-019,-9.0153205E-008, 0.0000000E+000,-4.5377422E-008, 0.0000000E+000,-1.5987477E-007,-1.5844071E-007, 0.0000000E+000, 0.0000000E+000, 4.9838654E+004
