s,Pa,Pa,Pa
Time,"pres_1","pres_2","pres_3"
 1.5500000E+001, 1.5941547E+003, 1.5931911E+003, 1.5922605E+003
 1.5600000E+001, 1.4430572E+003, 1.4418649E+003, 1.4408001E+003
 1.5700000E+001, 1.3062812E+003, 1.3049391E+003, 1.3037111E+003
 1.5800000E+001, 1.1824442E+003, 1.1810215E+003, 1.1796438E+003
 1.5900000E+001, 1.0703015E+003, 1.0688641E+003, 1.0673760E+003
 1.6000000E+001, 9.6873473E+002, 9.6735126E+002, 9.6579972E+002
 1.6100000E+001, 8.7674046E+002, 8.7548101E+002, 8.7390953E+002
 1.6200000E+001, 7.9341802E+002, 7.9234449E+002, 7.9079188E+002
 1.6300000E+001, 7.1795727E+002, 7.1711296E+002, 7.1561640E+002
 1.6400000E+001, 6.4962662E+002, 6.4902898E+002, 6.4762786E+002
 1.6500000E+001, 5.8752985E+002, 5.8731768E+002, 5.8616336E+002
 1.6600000E+001, 5.3063474E+002, 5.3101648E+002, 5.3068948E+002
 1.6700000E+001, 4.7975092E+002, 4.8027158E+002, 4.8037484E+002
 1.6800000E+001, 4.3389987E+002, 4.3444177E+002, 4.3478288E+002
 1.6900000E+001, 3.9240708E+002, 3.9294618E+002, 3.9347155E+002
 1.7000000E+001, 3.5468538E+002, 3.5522568E+002, 3.5596601E+002
 1.7100000E+001, 3.2053740E+002, 3.2109052E+002, 3.2194078E+002
 1.7200000E+001, 2.8977102E+002, 2.9032686E+002, 2.9121406E+002
 1.7300000E+001, 2.6178572E+002, 2.6234060E+002, 2.6326845E+002
 1.7400000E+001, 2.3647301E+002, 2.3699988E+002, 2.3795889E+002
 1.7500000E+001, 2.1368314E+002, 2.1417927E+002, 2.1515689E+002
 1.7600000E+001, 1.9307042E+002, 1.9353558E+002, 1.9452127E+002
 1.7700000E+001, 1.7442849E+002, 1.7486111E+002, 1.7585092E+002
 1.7800000E+001, 1.5756900E+002, 1.5796934E+002, 1.5896490E+002
 1.7900000E+001, 1.4232051E+002, 1.4269327E+002, 1.4369844E+002
 1.8000000E+001, 1.2852776E+002, 1.2888086E+002, 1.2990109E+002
 1.8100000E+001, 1.1605105E+002, 1.1639359E+002, 1.1743444E+002
 1.8200000E+001, 1.0476512E+002, 1.0510632E+002, 1.0617053E+002
 1.8300000E+001, 9.4558191E+001, 9.4906315E+001, 9.5996312E+001
 1.8400000E+001, 8.5330136E+001, 8.5691955E+001, 8.6807384E+001
 1.8500000E+001, 7.6990955E+001, 7.7370920E+001, 7.8508425E+001
 1.8600000E+001, 6.9459297E+001, 6.9858908E+001, 7.1012696E+001
 1.8700000E+001, 6.2661292E+001, 6.3079303E+001, 6.4241590E+001
 1.8800000E+001, 5.6529554E+001, 5.6962370E+001, 5.8123615E+001
 1.8900000E+001, 5.1002472E+001, 5.1444595E+001, 5.2593738E+001
 1.9000000E+001, 4.6023818E+001, 4.6468328E+001, 4.7593444E+001
 1.9100000E+001, 4.1542355E+001, 4.1981320E+001, 4.3069726E+001
 1.9200000E+001, 3.7511599E+001, 3.7936367E+001, 3.8975535E+001
 1.9300000E+001, 3.3889385E+001, 3.4290874E+001, 3.5268490E+001
 1.9400000E+001, 3.0637442E+001, 3.1006403E+001, 3.1910987E+001
 1.9500000E+001, 2.7720844E+001, 2.8048308E+001, 2.8869585E+001
 1.9600000E+001, 2.5107473E+001, 2.5385483E+001, 2.6114342E+001
 1.9700000E+001, 2.2767570E+001, 2.2990035E+001, 2.3618475E+001
 1.9800000E+001, 2.0673451E+001, 2.0836979E+001, 2.1357980E+001
 1.9900000E+001, 1.8799396E+001, 1.8903789E+001, 1.9311375E+001
 2.0000000E+001, 1.7121695E+001, 1.7169918E+001, 1.7459490E+001
 2.0100000E+001, 1.5618774E+001, 1.5616392E+001, 1.5785242E+001
 2.0200000E+001, 1.4271307E+001, 1.4225517E+001, 1.4273361E+001
