s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1,ZONE_2
 3.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.5476477E-004,-4.7859984E-003, 0.0000000E+000,-5.4784198E-003, 0.0000000E+000,-1.9160607E-002,-1.0819183E-002, 0.0000000E+000, 0.0000000E+000,-8.3708477E+000, 9.2333053E+001
 3.3750000E+000, 0.0000000E+000, 0.0000000E+000,-5.5787412E-004,-4.7225270E-003, 0.0000000E+000,-5.4741448E-003, 0.0000000E+000,-1.9065011E-002,-1.0754546E-002, 0.0000000E+000, 0.0000000E+000,-8.3847475E+000, 9.2393266E+001
 3.6250000E+000, 0.0000000E+000, 0.0000000E+000,-5.5646405E-004,-4.7173106E-003, 0.0000000E+000,-5.4266788E-003, 0.0000000E+000,-1.9046485E-002,-1.0700453E-002, 0.0000000E+000, 0.0000000E+000,-8.3199826E+000, 9.1610395E+001
 4.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3572118E-004,-4.7456994E-003, 0.0000000E+000,-5.3012022E-003, 0.0000000E+000,-1.8757220E-002,-1.0582623E-002, 0.0000000E+000, 0.0000000E+000,-8.3872819E+000, 9.2265784E+001
 4.2500000E+000, 0.0000000E+000, 0.0000000E+000,-5.4457200E-004,-4.7668788E-003, 0.0000000E+000,-5.3576527E-003, 0.0000000E+000,-1.8897687E-002,-1.0669104E-002, 0.0000000E+000, 0.0000000E+000,-8.3398759E+000, 9.1676442E+001
 4.5000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4746539E-004,-4.8486666E-003, 0.0000000E+000,-5.4377494E-003, 0.0000000E+000,-1.8988669E-002,-1.0833881E-002, 0.0000000E+000, 0.0000000E+000,-8.3966242E+000, 9.2244756E+001
 4.8750000E+000, 0.0000000E+000, 0.0000000E+000,-5.5136950E-004,-4.8829323E-003, 0.0000000E+000,-5.4760391E-003, 0.0000000E+000,-1.9084420E-002,-1.0910341E-002, 0.0000000E+000, 0.0000000E+000,-8.4118429E+000, 9.2319692E+001
 5.1250000E+000, 0.0000000E+000, 0.0000000E+000,-5.5056897E-004,-4.9362281E-003, 0.0000000E+000,-5.4574784E-003, 0.0000000E+000,-1.9191764E-002,-1.0944275E-002, 0.0000000E+000, 0.0000000E+000,-8.3497108E+000, 9.1565775E+001
 5.5000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3091803E-004,-4.9723843E-003, 0.0000000E+000,-5.3438692E-003, 0.0000000E+000,-1.8951491E-002,-1.0847172E-002, 0.0000000E+000, 0.0000000E+000,-8.4152264E+000, 9.2200631E+001
 5.7500000E+000, 0.0000000E+000, 0.0000000E+000,-5.3923597E-004,-4.9618949E-003, 0.0000000E+000,-5.3895236E-003, 0.0000000E+000,-1.9067868E-002,-1.0890654E-002, 0.0000000E+000, 0.0000000E+000,-8.3694687E+000, 9.1629217E+001
 6.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4187706E-004,-4.9907489E-003, 0.0000000E+000,-5.4500974E-003, 0.0000000E+000,-1.9087246E-002,-1.0982723E-002, 0.0000000E+000, 0.0000000E+000,-8.4245697E+000, 9.2179001E+001
 6.3750000E+000, 0.0000000E+000, 0.0000000E+000,-5.4515390E-004,-4.9361423E-003, 0.0000000E+000,-5.4545950E-003, 0.0000000E+000,-1.9054614E-002,-1.0935891E-002, 0.0000000E+000, 0.0000000E+000,-8.4395669E+000, 9.2251688E+001
 6.6250000E+000, 0.0000000E+000, 0.0000000E+000,-5.4354733E-004,-4.8889296E-003, 0.0000000E+000,-5.3986688E-003, 0.0000000E+000,-1.9010246E-002,-1.0831146E-002, 0.0000000E+000, 0.0000000E+000,-8.3795427E+000, 9.1521794E+001
 7.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2407956E-004,-4.8272104E-003, 0.0000000E+000,-5.2518821E-003, 0.0000000E+000,-1.8631721E-002,-1.0603172E-002, 0.0000000E+000, 0.0000000E+000,-8.4431729E+000, 9.2137194E+001
 7.2500000E+000, 0.0000000E+000, 0.0000000E+000,-5.3163620E-004,-4.7312215E-003, 0.0000000E+000,-5.2618554E-003, 0.0000000E+000,-1.8614735E-002,-1.0524713E-002, 0.0000000E+000, 0.0000000E+000,-8.3989414E+000, 9.1584166E+001
 7.5000000E+000, 0.0000000E+000, 0.0000000E+000,-5.3408524E-004,-4.7054495E-003, 0.0000000E+000,-5.2986871E-003, 0.0000000E+000,-1.8550843E-002,-1.0538222E-002, 0.0000000E+000, 0.0000000E+000,-8.4523557E+000, 9.2116883E+001
 7.8750000E+000, 0.0000000E+000, 0.0000000E+000,-5.3680358E-004,-4.6089675E-003, 0.0000000E+000,-5.2841079E-003, 0.0000000E+000,-1.8450099E-002,-1.0429879E-002, 0.0000000E+000, 0.0000000E+000,-8.4669231E+000, 9.2187677E+001
 8.1250000E+000, 0.0000000E+000, 0.0000000E+000,-5.3546770E-004,-4.5443183E-003, 0.0000000E+000,-5.2222831E-003, 0.0000000E+000,-1.8366122E-002,-1.0302069E-002, 0.0000000E+000, 0.0000000E+000,-8.4087807E+000, 9.1480741E+001
 8.5000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1761386E-004,-4.4365317E-003, 0.0000000E+000,-5.0419705E-003, 0.0000000E+000,-1.7966675E-002,-9.9961161E-003, 0.0000000E+000, 0.0000000E+000,-8.2714863E+000, 8.9865561E+001
 8.7500000E+000, 0.0000000E+000, 0.0000000E+000,-5.0939953E-004,-4.3652846E-003, 0.0000000E+000,-4.9991674E-003, 0.0000000E+000,-1.7570978E-002,-9.8738515E-003, 0.0000000E+000, 0.0000000E+000,-8.3263094E+000, 9.0417101E+001
 9.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.2077774E-004,-4.3527399E-003, 0.0000000E+000,-5.0575027E-003, 0.0000000E+000,-1.7764367E-002,-9.9310203E-003, 0.0000000E+000, 0.0000000E+000,-8.2606542E+000, 8.9628606E+001
 9.3750000E+000, 0.0000000E+000, 0.0000000E+000,-5.2243349E-004,-4.3702429E-003, 0.0000000E+000,-5.1115171E-003, 0.0000000E+000,-1.7712348E-002,-1.0004193E-002, 0.0000000E+000, 0.0000000E+000,-8.3416106E+000, 9.0441042E+001
 9.6250000E+000, 0.0000000E+000, 0.0000000E+000,-5.1157516E-004,-4.3637286E-003, 0.0000000E+000,-4.9862822E-003, 0.0000000E+000,-1.7604011E-002,-9.8615859E-003, 0.0000000E+000, 0.0000000E+000,-8.2959192E+000, 8.9875043E+001
 1.0000000E+001, 0.0000000E+000, 0.0000000E+000,-5.0522445E-004,-4.4164511E-003, 0.0000000E+000,-4.9669631E-003, 0.0000000E+000,-1.7601600E-002,-9.8886386E-003, 0.0000000E+000, 0.0000000E+000,-8.2951337E+000, 8.9779312E+001
 1.0250000E+001, 0.0000000E+000, 0.0000000E+000,-5.0586922E-004,-4.4436749E-003, 0.0000000E+000,-5.0022467E-003, 0.0000000E+000,-1.7567104E-002,-9.9517908E-003, 0.0000000E+000, 0.0000000E+000,-8.3708734E+000, 9.0563487E+001
 1.0625000E+001, 0.0000000E+000, 0.0000000E+000,-5.2438099E-004,-4.4636433E-003, 0.0000000E+000,-5.1303103E-003, 0.0000000E+000,-1.7877301E-002,-1.0118335E-002, 0.0000000E+000, 0.0000000E+000,-8.3162127E+000, 8.9867507E+001
 1.0875000E+001, 0.0000000E+000, 0.0000000E+000,-5.1322625E-004,-4.5051884E-003, 0.0000000E+000,-5.0826010E-003, 0.0000000E+000,-1.7774526E-002,-1.0101016E-002, 0.0000000E+000, 0.0000000E+000,-8.3744128E+000, 9.0456043E+001
 1.1125000E+001, 0.0000000E+000, 0.0000000E+000,-5.0898144E-004,-4.4685443E-003, 0.0000000E+000,-5.0023199E-003, 0.0000000E+000,-1.7693032E-002,-9.9798457E-003, 0.0000000E+000, 0.0000000E+000,-8.3264813E+000, 8.9864930E+001
 1.1500000E+001, 0.0000000E+000, 0.0000000E+000,-5.0228064E-004,-4.4840749E-003, 0.0000000E+000,-4.9699692E-003, 0.0000000E+000,-1.7638554E-002,-9.9563247E-003, 0.0000000E+000, 0.0000000E+000,-8.3253946E+000, 8.9765760E+001
 1.1750000E+001, 0.0000000E+000, 0.0000000E+000,-5.0240903E-004,-4.4583408E-003, 0.0000000E+000,-4.9852205E-003, 0.0000000E+000,-1.7532621E-002,-9.9459703E-003, 0.0000000E+000, 0.0000000E+000,-8.4001923E+000, 9.0539612E+001
 1.2125000E+001, 0.0000000E+000, 0.0000000E+000,-5.2008192E-004,-4.4178240E-003, 0.0000000E+000,-5.0871614E-003, 0.0000000E+000,-1.7745729E-002,-1.0025067E-002, 0.0000000E+000, 0.0000000E+000,-8.3470807E+000, 8.9861498E+001
 1.2375000E+001, 0.0000000E+000, 0.0000000E+000,-5.0873853E-004,-4.3995417E-003, 0.0000000E+000,-5.0172424E-003, 0.0000000E+000,-1.7554468E-002,-9.9255227E-003, 0.0000000E+000, 0.0000000E+000,-8.4042769E+000, 9.0439569E+001
 1.2625000E+001, 0.0000000E+000, 0.0000000E+000,-5.0415742E-004,-4.3231862E-003, 0.0000000E+000,-4.9221190E-003, 0.0000000E+000,-1.7411968E-002,-9.7494627E-003, 0.0000000E+000, 0.0000000E+000,-8.3572819E+000, 8.9859760E+001
 1.3000000E+001, 0.0000000E+000, 0.0000000E+000,-4.9730008E-004,-4.3001666E-003, 0.0000000E+000,-4.8746474E-003, 0.0000000E+000,-1.7296423E-002,-9.6721141E-003, 0.0000000E+000, 0.0000000E+000,-8.3562153E+000, 8.9762444E+001
 1.3250000E+001, 0.0000000E+000, 0.0000000E+000,-4.9732022E-004,-4.2535296E-003, 0.0000000E+000,-4.8797355E-003, 0.0000000E+000,-1.7153213E-002,-9.6305853E-003, 0.0000000E+000, 0.0000000E+000,-8.4295712E+000, 9.0521473E+001
 1.3625000E+001, 0.0000000E+000, 0.0000000E+000,-5.1448671E-004,-4.2132317E-003, 0.0000000E+000,-4.9769993E-003, 0.0000000E+000,-1.7348433E-002,-9.7047177E-003, 0.0000000E+000, 0.0000000E+000,-8.3774662E+000, 8.9856449E+001
