s,kg,kg,kg,kg,kg
Time,Total,NITROGEN,OXYGEN,CARBON DIOXIDE,WATER VAPOR
 1.0981009E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.1044255E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.1107500E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.1162840E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.1226086E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.1281425E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.1344671E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.1400011E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.1463257E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.1526502E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.1581842E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.1645087E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.1700427E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.1763673E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.1826919E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.1882259E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.1945504E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.2000844E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.2064089E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.2127335E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.2182674E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.2245921E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.2301260E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.2364506E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.2427751E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.2483091E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.2546336E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.2601676E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.2664922E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.2720262E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.2783508E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.2846753E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.2902094E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.2965338E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.3020679E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.3083923E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.3147169E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.3202509E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.3265755E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.3321095E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.3384340E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.3447586E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.3502925E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.3566171E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.3621510E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
 1.3684756E+002, 9.5714715E-003, 7.2979609E-003, 2.2109855E-003, 5.6611915E-006, 5.6863959E-005
