s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 2.7669930E+001, 0.0000000E+000,-2.5625114E-005, 3.9529014E-004,-2.0005163E-005, 0.0000000E+000, 4.9580404E-003, 0.0000000E+000, 5.3063268E-003, 5.3077003E-003, 0.0000000E+000, 4.0000000E-005, 2.1897134E+004
 2.8223328E+001, 0.0000000E+000,-2.5790393E-005, 4.0938743E-004,-1.9985635E-005, 0.0000000E+000, 4.9635898E-003, 0.0000000E+000, 5.3257448E-003, 5.3272012E-003, 0.0000000E+000, 4.0000000E-005, 2.2354903E+004
 2.8855783E+001, 0.0000000E+000,-2.5829623E-005, 4.2330128E-004,-2.0150414E-005, 0.0000000E+000, 4.9689896E-003, 0.0000000E+000, 5.3450580E-003, 5.3463109E-003, 0.0000000E+000, 4.0000000E-005, 2.2878642E+004
 2.9409182E+001, 0.0000000E+000,-2.5852984E-005, 4.3723060E-004,-2.0345185E-005, 0.0000000E+000, 4.9743379E-003, 0.0000000E+000, 5.3640867E-003, 5.3653704E-003, 0.0000000E+000, 4.0000000E-005, 2.3337412E+004
 3.0041637E+001, 0.0000000E+000,-2.5972617E-005, 4.5138796E-004,-2.0410424E-005, 0.0000000E+000, 4.9798952E-003, 0.0000000E+000, 5.3835639E-003, 5.3849001E-003, 0.0000000E+000, 4.0000000E-005, 2.3862300E+004
 3.0674093E+001, 0.0000000E+000,-2.6023700E-005, 4.6634748E-004,-2.0549096E-005, 0.0000000E+000, 4.9857310E-003, 0.0000000E+000, 5.4042223E-003, 5.4055057E-003, 0.0000000E+000, 4.0000000E-005, 2.4387804E+004
 3.1227491E+001, 0.0000000E+000,-2.6117999E-005, 4.8045568E-004,-2.0582114E-005, 0.0000000E+000, 4.9912533E-003, 0.0000000E+000, 5.4234904E-003, 5.4250089E-003, 0.0000000E+000, 4.0000000E-005, 2.4848124E+004
 3.1859947E+001, 0.0000000E+000,-2.6092255E-005, 4.9428441E-004,-2.0720875E-005, 0.0000000E+000, 4.9966527E-003, 0.0000000E+000, 5.4428113E-003, 5.4441240E-003, 0.0000000E+000, 4.0000000E-005, 2.5374779E+004
 3.2413345E+001, 0.0000000E+000,-2.6066783E-005, 5.0805052E-004,-2.0817215E-005, 0.0000000E+000, 5.0020317E-003, 0.0000000E+000, 5.4620243E-003, 5.4631983E-003, 0.0000000E+000, 4.0000000E-005, 2.5836104E+004
 3.3045803E+001, 0.0000000E+000,-2.6160720E-005, 5.2199575E-004,-2.0724523E-005, 0.0000000E+000, 5.0075421E-003, 0.0000000E+000, 5.4812523E-003, 5.4826526E-003, 0.0000000E+000, 4.0000000E-005, 2.6363907E+004
 3.3678257E+001, 0.0000000E+000,-2.6206856E-005, 5.3671881E-004,-2.0684315E-005, 0.0000000E+000, 5.0133650E-003, 0.0000000E+000, 5.5019086E-003, 5.5031927E-003, 0.0000000E+000, 4.0000000E-005, 2.6892323E+004
 3.4231655E+001, 0.0000000E+000,-2.6314115E-005, 5.5060380E-004,-2.0593840E-005, 0.0000000E+000, 5.0188607E-003, 0.0000000E+000, 5.5211589E-003, 5.5225565E-003, 0.0000000E+000, 4.0000000E-005, 2.7355191E+004
 3.4864113E+001, 0.0000000E+000,-2.6308054E-005, 5.6426632E-004,-2.0694814E-005, 0.0000000E+000, 5.0241695E-003, 0.0000000E+000, 5.5400498E-003, 5.5414330E-003, 0.0000000E+000, 4.0000000E-005, 2.7884747E+004
 3.5417511E+001, 0.0000000E+000,-2.6298165E-005, 5.7796436E-004,-2.0850195E-005, 0.0000000E+000, 5.0295011E-003, 0.0000000E+000, 5.5591543E-003, 5.5603171E-003, 0.0000000E+000, 4.0000000E-005, 2.8348605E+004
 3.6049965E+001, 0.0000000E+000,-2.6394648E-005, 5.9192278E-004,-2.0919607E-005, 0.0000000E+000, 5.0349627E-003, 0.0000000E+000, 5.5782759E-003, 5.5795712E-003, 0.0000000E+000, 4.0000000E-005, 2.8879299E+004
