s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 3.1410446E-001, 5.2507578E-002, 0.0000000E+000, 1.0000000E+000, 3.9827294E+001
 3.1624035E-001, 5.2455974E-002, 0.0000000E+000, 1.0000000E+000, 4.0644858E+001
 3.1837623E-001, 5.2386883E-002, 0.0000000E+000, 1.0000000E+000, 4.0955464E+001
 3.2040384E-001, 5.2323391E-002, 0.0000000E+000, 1.0000000E+000, 4.1278792E+001
 3.2232318E-001, 5.2263621E-002, 0.0000000E+000, 1.0000000E+000, 4.1564683E+001
 3.2424252E-001, 5.2200707E-002, 0.0000000E+000, 1.0000000E+000, 4.2435775E+001
 3.2616185E-001, 5.2137522E-002, 0.0000000E+000, 1.0000000E+000, 4.2727225E+001
 3.2808119E-001, 5.2074069E-002, 0.0000000E+000, 1.0000000E+000, 4.3010386E+001
 3.3000053E-001, 5.2010348E-002, 0.0000000E+000, 1.0000000E+000, 4.3271935E+001
 3.3287954E-001, 5.1930310E-002, 0.0000000E+000, 1.0000000E+000, 4.4111926E+001
 3.3479888E-001, 5.1849888E-002, 0.0000000E+000, 1.0000000E+000, 4.4466798E+001
 3.3671821E-001, 5.1785245E-002, 0.0000000E+000, 1.0000000E+000, 4.4751567E+001
 3.3863755E-001, 5.1720341E-002, 0.0000000E+000, 1.0000000E+000, 4.5016297E+001
 3.4055689E-001, 5.1655180E-002, 0.0000000E+000, 1.0000000E+000, 4.5904338E+001
 3.4247623E-001, 5.1589761E-002, 0.0000000E+000, 1.0000000E+000, 4.6203475E+001
 3.4439556E-001, 5.1524088E-002, 0.0000000E+000, 1.0000000E+000, 4.6487506E+001
 3.4631490E-001, 5.1458161E-002, 0.0000000E+000, 1.0000000E+000, 4.6773453E+001
 3.4823424E-001, 5.1391982E-002, 0.0000000E+000, 1.0000000E+000, 4.7037041E+001
 3.5015358E-001, 5.1325552E-002, 0.0000000E+000, 1.0000000E+000, 4.7948184E+001
 3.5207292E-001, 5.1258874E-002, 0.0000000E+000, 1.0000000E+000, 4.8254081E+001
 3.5495192E-001, 5.1175167E-002, 0.0000000E+000, 1.0000000E+000, 4.8596238E+001
 3.5687126E-001, 5.1091102E-002, 0.0000000E+000, 1.0000000E+000, 4.8918740E+001
 3.5879060E-001, 5.1023566E-002, 0.0000000E+000, 1.0000000E+000, 4.9919524E+001
 3.6070994E-001, 5.0955789E-002, 0.0000000E+000, 1.0000000E+000, 5.0233968E+001
 3.6262928E-001, 5.0887773E-002, 0.0000000E+000, 1.0000000E+000, 5.0516669E+001
 3.6454861E-001, 5.0819518E-002, 0.0000000E+000, 1.0000000E+000, 5.0777432E+001
 3.6646795E-001, 5.0751027E-002, 0.0000000E+000, 1.0000000E+000, 5.1635150E+001
 3.6829130E-001, 5.0688107E-002, 0.0000000E+000, 1.0000000E+000, 5.1953113E+001
 3.7001865E-001, 5.0628893E-002, 0.0000000E+000, 1.0000000E+000, 5.2258546E+001
 3.7260967E-001, 5.0551089E-002, 0.0000000E+000, 1.0000000E+000, 5.2582988E+001
 3.7433702E-001, 5.0473013E-002, 0.0000000E+000, 1.0000000E+000, 5.3495257E+001
 3.7606437E-001, 5.0410337E-002, 0.0000000E+000, 1.0000000E+000, 5.3795594E+001
 3.7865539E-001, 5.0331725E-002, 0.0000000E+000, 1.0000000E+000, 5.4140722E+001
 3.8038274E-001, 5.0252847E-002, 0.0000000E+000, 1.0000000E+000, 5.4663605E+001
 3.8211009E-001, 5.0189533E-002, 0.0000000E+000, 1.0000000E+000, 5.5353312E+001
 3.8470112E-001, 5.0110130E-002, 0.0000000E+000, 1.0000000E+000, 5.5718784E+001
 3.8642847E-001, 5.0030468E-002, 0.0000000E+000, 1.0000000E+000, 5.6064593E+001
 3.8815581E-001, 4.9966532E-002, 0.0000000E+000, 1.0000000E+000, 5.6350909E+001
 3.9074684E-001, 4.9886358E-002, 0.0000000E+000, 1.0000000E+000, 5.6671728E+001
 3.9247419E-001, 4.9805930E-002, 0.0000000E+000, 1.0000000E+000, 5.7516083E+001
 3.9420154E-001, 4.9741387E-002, 0.0000000E+000, 1.0000000E+000, 5.7807759E+001
 3.9679256E-001, 4.9660459E-002, 0.0000000E+000, 1.0000000E+000, 5.8158158E+001
 3.9851991E-001, 4.9579284E-002, 0.0000000E+000, 1.0000000E+000, 5.8482747E+001
 4.0024726E-001, 4.9514149E-002, 0.0000000E+000, 1.0000000E+000, 5.9267428E+001
 4.0283829E-001, 4.9432486E-002, 0.0000000E+000, 1.0000000E+000, 5.9634375E+001
 4.0456564E-001, 4.9350583E-002, 0.0000000E+000, 1.0000000E+000, 5.9979089E+001
 4.0629298E-001, 4.9284870E-002, 0.0000000E+000, 1.0000000E+000, 6.0243388E+001
 4.0802033E-001, 4.9218994E-002, 0.0000000E+000, 1.0000000E+000, 6.1150828E+001
 4.1061136E-001, 4.9136415E-002, 0.0000000E+000, 1.0000000E+000, 6.1513514E+001
 4.1233871E-001, 4.9053603E-002, 0.0000000E+000, 1.0000000E+000, 6.1859429E+001
 4.1406606E-001, 4.8987168E-002, 0.0000000E+000, 1.0000000E+000, 6.2126343E+001
 4.1665708E-001, 4.8903897E-002, 0.0000000E+000, 1.0000000E+000, 6.2935614E+001
 4.1838443E-001, 4.8820400E-002, 0.0000000E+000, 1.0000000E+000, 6.3284878E+001
 4.2011178E-001, 4.8753422E-002, 0.0000000E+000, 1.0000000E+000, 6.3565697E+001
 4.2261545E-001, 4.8673824E-002, 0.0000000E+000, 1.0000000E+000, 6.3907123E+001
 4.2416809E-001, 4.8600676E-002, 0.0000000E+000, 1.0000000E+000, 6.4855019E+001
 4.2649705E-001, 4.8524850E-002, 0.0000000E+000, 1.0000000E+000, 6.5223738E+001
 4.2804969E-001, 4.8448849E-002, 0.0000000E+000, 1.0000000E+000, 6.5568623E+001
 4.3037865E-001, 4.8372650E-002, 0.0000000E+000, 1.0000000E+000, 6.5913359E+001
 4.3270761E-001, 4.8280976E-002, 0.0000000E+000, 1.0000000E+000, 6.6298160E+001
 4.3426025E-001, 4.8204387E-002, 0.0000000E+000, 1.0000000E+000, 6.7185158E+001
 4.3658921E-001, 4.8127606E-002, 0.0000000E+000, 1.0000000E+000, 6.7548986E+001
 4.3814186E-001, 4.8050658E-002, 0.0000000E+000, 1.0000000E+000, 6.7890115E+001
 4.4047082E-001, 4.7973522E-002, 0.0000000E+000, 1.0000000E+000, 6.8215676E+001
 4.4202346E-001, 4.7896223E-002, 0.0000000E+000, 1.0000000E+000, 6.8892995E+001
 4.4435242E-001, 4.7818739E-002, 0.0000000E+000, 1.0000000E+000, 6.9243902E+001
 4.4668138E-001, 4.7725540E-002, 0.0000000E+000, 1.0000000E+000, 6.9645458E+001
 4.4823402E-001, 4.7647692E-002, 0.0000000E+000, 1.0000000E+000, 6.9970349E+001
 4.5056298E-001, 4.7569666E-002, 0.0000000E+000, 1.0000000E+000, 7.0953657E+001
 4.5211562E-001, 4.7491486E-002, 0.0000000E+000, 1.0000000E+000, 7.1307057E+001
 4.5444458E-001, 4.7413130E-002, 0.0000000E+000, 1.0000000E+000, 7.1648687E+001
 4.5677354E-001, 4.7318895E-002, 0.0000000E+000, 1.0000000E+000, 7.2039686E+001
 4.5832618E-001, 4.7240195E-002, 0.0000000E+000, 1.0000000E+000, 7.3658364E+001
 4.6065514E-001, 4.7161326E-002, 0.0000000E+000, 1.0000000E+000, 7.4002351E+001
 4.6220778E-001, 4.7082310E-002, 0.0000000E+000, 1.0000000E+000, 7.4346253E+001
 4.6453674E-001, 4.7003128E-002, 0.0000000E+000, 1.0000000E+000, 7.4677036E+001
 4.6608938E-001, 4.6923804E-002, 0.0000000E+000, 1.0000000E+000, 7.5444264E+001
 4.6841834E-001, 4.6844317E-002, 0.0000000E+000, 1.0000000E+000, 7.5810919E+001
 4.7074731E-001, 4.6748742E-002, 0.0000000E+000, 1.0000000E+000, 7.6217705E+001
 4.7229995E-001, 4.6668937E-002, 0.0000000E+000, 1.0000000E+000, 7.6560956E+001
 4.7462891E-001, 4.6588977E-002, 0.0000000E+000, 1.0000000E+000, 7.6889036E+001
 4.7618155E-001, 4.6508882E-002, 0.0000000E+000, 1.0000000E+000, 7.7796330E+001
 4.7851051E-001, 4.6428634E-002, 0.0000000E+000, 1.0000000E+000, 7.8154656E+001
 4.8006315E-001, 4.6348255E-002, 0.0000000E+000, 1.0000000E+000, 7.8496613E+001
 4.8239211E-001, 4.6267727E-002, 0.0000000E+000, 1.0000000E+000, 7.8823879E+001
 4.8456489E-001, 4.6179407E-002, 0.0000000E+000, 1.0000000E+000, 7.9793606E+001
 4.8665957E-001, 4.6093472E-002, 0.0000000E+000, 1.0000000E+000, 8.0807577E+001
 4.8805603E-001, 4.6020673E-002, 0.0000000E+000, 1.0000000E+000, 8.1169835E+001
 4.9015071E-001, 4.5947758E-002, 0.0000000E+000, 1.0000000E+000, 8.1504919E+001
 4.9224540E-001, 4.5860126E-002, 0.0000000E+000, 1.0000000E+000, 8.2478532E+001
 4.9434008E-001, 4.5772343E-002, 0.0000000E+000, 1.0000000E+000, 8.2888342E+001
 4.9643477E-001, 4.5684412E-002, 0.0000000E+000, 1.0000000E+000, 8.3283532E+001
 4.9852945E-001, 4.5596335E-002, 0.0000000E+000, 1.0000000E+000, 8.3673221E+001
 5.0062414E-001, 4.5508114E-002, 0.0000000E+000, 1.0000000E+000, 8.4818594E+001
 5.0202060E-001, 4.5434490E-002, 0.0000000E+000, 1.0000000E+000, 8.5191182E+001
 5.0411528E-001, 4.5360764E-002, 0.0000000E+000, 1.0000000E+000, 8.5538410E+001
 5.0620997E-001, 4.5272168E-002, 0.0000000E+000, 1.0000000E+000, 8.5926258E+001
 5.0830465E-001, 4.5183437E-002, 2.7755576E-017, 1.0000000E+000, 8.6676560E+001
 5.1039934E-001, 4.5094571E-002, 2.7755576E-017, 1.0000000E+000, 8.7098308E+001
 5.1249402E-001, 4.5005573E-002, 2.7755576E-017, 1.0000000E+000, 8.7810286E+001
 5.1458871E-001, 4.4916446E-002, 2.7755576E-017, 1.0000000E+000, 8.8522327E+001
 5.1668339E-001, 4.4827190E-002, 2.7755576E-017, 1.0000000E+000, 8.8927328E+001
 5.1807985E-001, 4.4752717E-002, 2.7755576E-017, 1.0000000E+000, 9.0141583E+001
 5.2017453E-001, 4.4678152E-002, 2.7755576E-017, 1.0000000E+000, 9.0521447E+001
 5.2226922E-001, 4.4588566E-002, 2.7755576E-017, 1.0000000E+000, 9.0933859E+001
 5.2436391E-001, 4.4498860E-002, 2.7755576E-017, 1.0000000E+000, 9.1320084E+001
 5.2645859E-001, 4.4409035E-002, 2.7755576E-017, 1.0000000E+000, 9.2315095E+001
 5.2855328E-001, 4.4319095E-002, 2.7755576E-017, 1.0000000E+000, 9.2736034E+001
 5.3064796E-001, 4.4229041E-002, 2.7755576E-017, 1.0000000E+000, 9.3146833E+001
 5.3204442E-001, 4.4153913E-002, 2.7755576E-017, 1.0000000E+000, 9.3471364E+001
 5.3413910E-001, 4.4078704E-002, 2.7755576E-017, 1.0000000E+000, 9.4310914E+001
 5.3623379E-001, 4.3988356E-002, 3.7007434E-017, 1.0000000E+000, 9.4723277E+001
 5.3832847E-001, 4.3897903E-002, 2.7755576E-017, 1.0000000E+000, 9.5124792E+001
 5.4042316E-001, 4.3807345E-002, 3.7007434E-017, 1.0000000E+000, 9.5517429E+001
 5.4251784E-001, 4.3716686E-002, 2.7755576E-017, 1.0000000E+000, 9.6443370E+001
 5.4461253E-001, 4.3625926E-002, 2.7755576E-017, 1.0000000E+000, 9.6867473E+001
 5.4600899E-001, 4.3550221E-002, 2.7755576E-017, 1.0000000E+000, 9.7206921E+001
 5.4810367E-001, 4.3474445E-002, 2.7755576E-017, 1.0000000E+000, 9.7536830E+001
 5.5019836E-001, 4.3383430E-002, 3.7007434E-017, 1.0000000E+000, 9.8478321E+001
 5.5229304E-001, 4.3292323E-002, 3.7007434E-017, 1.0000000E+000, 9.9485075E+001
