s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 4.0632726E-001, 4.9272990E-002, 9.9437335E-006, 5.0000000E+000, 6.7383762E+001
 4.0805465E-001, 4.9215584E-002, 9.9515196E-006, 3.0000000E+000, 6.8224064E+001
 4.1064573E-001, 4.9130103E-002, 9.8952342E-006, 4.6666667E+000, 6.9244630E+001
 4.1237312E-001, 4.9052315E-002, 9.9723814E-006, 5.0000000E+000, 6.9862644E+001
 4.1410051E-001, 4.8970136E-002, 9.9283185E-006, 3.0000000E+000, 7.0335087E+001
 4.1669159E-001, 4.8897725E-002, 9.9572609E-006, 4.6666667E+000, 7.0994142E+001
 4.1841898E-001, 4.8818453E-002, 9.9236539E-006, 3.0000000E+000, 7.1935871E+001
 4.2014637E-001, 4.8746922E-002, 9.9618825E-006, 5.0000000E+000, 7.2438408E+001
 4.2265010E-001, 4.8669586E-002, 9.9007424E-006, 4.0697749E+000, 7.3067260E+001
 4.2420279E-001, 4.8585435E-002, 9.9412928E-006, 5.0000000E+000, 7.3709591E+001
 4.2653183E-001, 4.8510029E-002, 9.7832086E-006, 2.6666667E+000, 7.4286612E+001
 4.2808452E-001, 4.8433992E-002, 9.9410510E-006, 3.0000000E+000, 7.4813336E+001
 4.3041355E-001, 4.8351202E-002, 9.8738736E-006, 3.6666667E+000, 7.5141984E+001
 4.3274259E-001, 4.8265564E-002, 9.8541864E-006, 4.0000000E+000, 7.6042899E+001
 4.3429528E-001, 4.8185316E-002, 9.8239025E-006, 3.0000000E+000, 7.6363602E+001
 4.3662432E-001, 4.8108157E-002, 9.9596659E-006, 4.3333333E+000, 7.6683384E+001
 4.3817701E-001, 4.8029036E-002, 9.7575550E-006, 2.5000000E+000, 7.7705292E+001
 4.4050604E-001, 4.7961950E-002, 9.9302901E-006, 3.0000000E+000, 7.8038866E+001
 4.4205873E-001, 4.7877483E-002, 9.8517864E-006, 4.5000000E+000, 7.8363026E+001
 4.4438777E-001, 4.7797356E-002, 9.9009632E-006, 3.0000000E+000, 7.8682550E+001
 4.4671680E-001, 4.7716779E-002, 9.9044449E-006, 4.0000000E+000, 7.9431817E+001
 4.4826949E-001, 4.7632676E-002, 9.8774101E-006, 3.0000000E+000, 7.9763950E+001
 4.5059853E-001, 4.7555840E-002, 9.9853913E-006, 4.6666667E+000, 8.0093075E+001
 4.5215122E-001, 4.7467525E-002, 9.7764344E-006, 2.5000000E+000, 8.0735973E+001
 4.5448025E-001, 4.7401287E-002, 9.9147624E-006, 3.0000000E+000, 8.1297540E+001
 4.5603294E-001, 4.7314827E-002, 9.8683444E-006, 4.5000000E+000, 8.1644459E+001
 4.5836198E-001, 4.7233902E-002, 9.9070162E-006, 3.0000000E+000, 8.1973197E+001
 4.6069102E-001, 4.7149277E-002, 9.9227408E-006, 4.3333333E+000, 8.2576639E+001
 4.6224371E-001, 4.7064243E-002, 9.8153470E-006, 3.0000000E+000, 8.3269718E+001
 4.6457274E-001, 4.6986372E-002, 9.9599109E-006, 4.3333333E+000, 8.3617789E+001
 4.6612543E-001, 4.6897514E-002, 9.8605946E-006, 2.5000000E+000, 8.3934708E+001
 4.6845447E-001, 4.6829153E-002, 9.9283862E-006, 3.6666667E+000, 8.4256199E+001
 4.7000716E-001, 4.6749416E-002, 9.9213728E-006, 3.0000000E+000, 8.5201851E+001
 4.7233619E-001, 4.6663496E-002, 9.9297200E-006, 4.0000000E+000, 8.5543881E+001
 4.7466523E-001, 4.6587179E-002, 9.9425802E-006, 3.0000000E+000, 8.5921912E+001
 4.7621792E-001, 4.6504488E-002, 9.9770165E-006, 4.5000000E+000, 8.6643284E+001
 4.7854695E-001, 4.6428992E-002, 9.9529227E-006, 3.0000000E+000, 8.6999406E+001
 4.8009965E-001, 4.6341891E-002, 9.9305326E-006, 5.0000000E+000, 8.7628208E+001
 4.8242868E-001, 4.6262498E-002, 9.9302117E-006, 3.0000000E+000, 8.7967180E+001
 4.8460151E-001, 4.6161219E-002, 9.9319802E-006, 4.1078361E+000, 8.8364922E+001
 4.8669624E-001, 4.6083455E-002, 9.9448058E-006, 2.6666667E+000, 8.8748539E+001
 4.8809272E-001, 4.6006451E-002, 9.9637346E-006, 3.0000000E+000, 8.9063824E+001
 4.9018745E-001, 4.5932934E-002, 9.9815630E-006, 3.0000000E+000, 8.9948208E+001
 4.9228217E-001, 4.5857805E-002, 9.9738029E-006, 3.0000000E+000, 9.0330209E+001
 4.9437690E-001, 4.5757750E-002, 9.9636903E-006, 3.3333333E+000, 9.0704701E+001
 4.9647162E-001, 4.5677956E-002, 9.9508013E-006, 3.0000000E+000, 9.1074037E+001
 4.9856635E-001, 4.5585583E-002, 9.9804872E-006, 3.0000000E+000, 9.1446448E+001
 5.0066108E-001, 4.5501186E-002, 9.9678405E-006, 3.3333333E+000, 9.1814020E+001
 5.0205756E-001, 4.5427415E-002, 9.9570366E-006, 2.5000000E+000, 9.2540024E+001
 5.0415229E-001, 4.5356834E-002, 9.9888438E-006, 3.3333333E+000, 9.2930299E+001
 5.0624701E-001, 4.5270634E-002, 9.9912541E-006, 3.0000000E+000, 9.3296388E+001
 5.0834174E-001, 4.5181830E-002, 9.9877315E-006, 3.0000000E+000, 9.3667851E+001
 5.1043647E-001, 4.5089647E-002, 9.9687566E-006, 3.3333333E+000, 9.4033449E+001
 5.1253119E-001, 4.5001959E-002, 9.9828407E-006, 3.0000000E+000, 9.4682802E+001
 5.1462592E-001, 4.4912795E-002, 9.9839397E-006, 3.3333333E+000, 9.5053857E+001
 5.1602240E-001, 4.4838009E-002, 9.9640825E-006, 3.0000000E+000, 9.5369522E+001
 5.1811713E-001, 4.4766612E-002, 9.9891516E-006, 3.0000000E+000, 9.5686428E+001
 5.2021185E-001, 4.4669690E-002, 9.9691162E-006, 3.3333333E+000, 9.6379576E+001
 5.2230658E-001, 4.4581488E-002, 9.9722942E-006, 3.3333333E+000, 9.6766804E+001
 5.2440131E-001, 4.4487459E-002, 9.9580613E-006, 3.0000000E+000, 9.7557659E+001
 5.2649603E-001, 4.4400349E-002, 9.9780375E-006, 3.3333333E+000, 9.7952152E+001
 5.2859076E-001, 4.4305948E-002, 9.9659061E-006, 3.0000000E+000, 9.8322847E+001
 5.3068548E-001, 4.4216283E-002, 9.9666297E-006, 3.3333333E+000, 9.8701995E+001
 5.3208197E-001, 4.4139321E-002, 9.9714219E-006, 3.0000000E+000, 9.9001553E+001
 5.3417670E-001, 4.4063847E-002, 9.9690009E-006, 3.3333333E+000, 9.9775545E+001
 5.3627142E-001, 4.3974682E-002, 9.9780525E-006, 3.0000000E+000, 1.0053497E+002
 5.3836615E-001, 4.3881694E-002, 9.9568983E-006, 3.3333333E+000, 1.0115872E+002
 5.4046087E-001, 4.3791829E-002, 9.9721283E-006, 3.3333333E+000, 1.0155852E+002
 5.4255560E-001, 4.3697358E-002, 9.9677738E-006, 3.0000000E+000, 1.0193002E+002
 5.4465033E-001, 4.3614280E-002, 9.9725203E-006, 3.3333333E+000, 1.0268600E+002
 5.4604681E-001, 4.3529703E-002, 9.9747901E-006, 3.0000000E+000, 1.0302415E+002
 5.4814154E-001, 4.3460577E-002, 9.9642348E-006, 3.3333333E+000, 1.0377873E+002
 5.5023626E-001, 4.3365309E-002, 9.9579976E-006, 3.0000000E+000, 1.0417485E+002
 5.5233099E-001, 4.3274958E-002, 9.9567133E-006, 3.3333333E+000, 1.0454875E+002
