s,m/s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","v-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 2.5308548E-001,-9.3099272E-002, 0.0000000E+000, 3.7312752E-002, 1.6207789E-001, 3.3124193E-003, 1.0000000E+000, 1.0000000E+001, 7.5306349E-002, 2.4623954E-009
 2.5729419E-001,-8.4252504E-002, 0.0000000E+000, 3.8360749E-002, 2.7822978E-001, 3.3077122E-003, 1.0000000E+000, 1.0000000E+001, 7.5166522E-002, 2.7886722E-009
 2.6150290E-001,-7.5454450E-002, 0.0000000E+000, 3.9421735E-002, 2.7886939E-001, 3.4304959E-003, 1.0000000E+000, 1.0000000E+001, 7.5166955E-002, 2.9075024E-009
 2.6571160E-001,-6.6729842E-002, 0.0000000E+000, 4.0493048E-002, 2.7834971E-001, 3.5708367E-003, 1.0000000E+000, 1.0000000E+001, 7.5179807E-002, 2.9990455E-009
 2.6992031E-001,-5.8077026E-002, 0.0000000E+000, 4.1574899E-002, 2.7770346E-001, 3.7166870E-003, 1.0000000E+000, 1.0000000E+001, 7.5196051E-002, 3.0914783E-009
 2.7412902E-001,-4.9151083E-002, 0.0000000E+000, 4.2707992E-002, 2.8919657E-001, 3.8584415E-003, 1.0000000E+000, 1.0000000E+001, 7.5200362E-002, 3.2195239E-009
 2.7833773E-001,-4.0632248E-002, 0.0000000E+000, 4.3813754E-002, 2.7635226E-001, 4.0197520E-003, 1.0000000E+000, 1.0000000E+001, 7.5234506E-002, 3.2954986E-009
 2.8254644E-001,-3.2177881E-002, 0.0000000E+000, 4.4930871E-002, 2.7550736E-001, 4.1791955E-003, 1.0000000E+000, 1.0000000E+001, 7.5258744E-002, 3.3995200E-009
 2.8675515E-001,-2.3783580E-002, 0.0000000E+000, 4.6060516E-002, 2.7470681E-001, 4.3426224E-003, 1.0000000E+000, 1.0000000E+001, 7.5284180E-002, 3.5124091E-009
 2.9096386E-001,-1.5447754E-002, 0.0000000E+000, 4.7203267E-002, 2.7385810E-001, 4.5106704E-003, 1.0000000E+000, 1.0000000E+001, 7.5311633E-002, 3.6317219E-009
 2.9517256E-001,-7.1697268E-003, 0.0000000E+000, 4.8359643E-002, 2.7294196E-001, 4.6835130E-003, 1.0000000E+000, 1.0000000E+001, 7.5341184E-002, 3.7574621E-009
 2.9938127E-001, 1.3914988E-003, 0.0000000E+000, 4.9570431E-002, 2.8409087E-001, 4.8527711E-003, 1.0000000E+000, 1.0000000E+001, 7.5359016E-002, 3.9197789E-009
 3.0358998E-001, 8.4408103E-003, 0.0000000E+000, 5.0492244E-002, 2.2703413E-001, 4.6516442E-003, 1.0000000E+000, 1.0000000E+001, 7.5535522E-002, 3.7826724E-009
 3.0723355E-001, 1.4360533E-002, 0.0000000E+000, 5.1265055E-002, 2.1954554E-001, 4.1409879E-003, 1.0000000E+000, 1.0000000E+001, 7.5579586E-002, 3.8916125E-009
 3.1087713E-001, 2.0220764E-002, 0.0000000E+000, 5.2039898E-002, 2.1770419E-001, 4.1839643E-003, 1.0000000E+000, 1.0000000E+001, 7.5633909E-002, 3.9492831E-009
 3.1452070E-001, 2.6039462E-002, 0.0000000E+000, 5.2822314E-002, 2.1658524E-001, 4.2983935E-003, 1.0000000E+000, 1.0000000E+001, 7.5669201E-002, 4.0663143E-009
 3.1816427E-001, 3.1816668E-002, 0.0000000E+000, 5.3613037E-002, 2.1545975E-001, 4.4227700E-003, 1.0000000E+000, 1.0000000E+001, 7.5703323E-002, 4.1948242E-009
 3.2143691E-001, 3.7248761E-002, 0.0000000E+000, 5.4359187E-002, 2.2680232E-001, 4.1070241E-003, 1.0000000E+000, 1.0000000E+001, 7.5705682E-002, 4.3851227E-009
 3.2470954E-001, 4.2345632E-002, 0.0000000E+000, 5.5083406E-002, 2.1233876E-001, 4.1860219E-003, 1.0000000E+000, 1.0000000E+001, 7.5765816E-002, 4.4522844E-009
 3.2798218E-001, 4.7399857E-002, 0.0000000E+000, 5.5813902E-002, 2.1090718E-001, 4.2883236E-003, 1.0000000E+000, 1.0000000E+001, 7.5804296E-002, 4.5760151E-009
 3.3125481E-001, 5.2412186E-002, 0.0000000E+000, 5.6551523E-002, 2.0953351E-001, 4.3941020E-003, 1.0000000E+000, 1.0000000E+001, 7.5841553E-002, 4.7111350E-009
 3.3452745E-001, 5.7663784E-002, 0.0000000E+000, 5.7322918E-002, 2.2073377E-001, 4.4725322E-003, 1.0000000E+000, 1.0000000E+001, 7.5868134E-002, 4.8722674E-009
 3.3780008E-001, 6.2583636E-002, 0.0000000E+000, 5.8076170E-002, 2.0649758E-001, 4.6038964E-003, 1.0000000E+000, 1.0000000E+001, 7.5919366E-002, 5.0024852E-009
 3.4107272E-001, 6.7451030E-002, 0.0000000E+000, 5.8836434E-002, 2.0470364E-001, 4.7155163E-003, 1.0000000E+000, 1.0000000E+001, 7.5962855E-002, 5.1530771E-009
 3.4434535E-001, 7.2264456E-002, 0.0000000E+000, 5.9604194E-002, 2.0288546E-001, 4.8251688E-003, 1.0000000E+000, 1.0000000E+001, 7.6007138E-002, 5.3116821E-009
