s,m3/s,m3/s,m/s,,s
Time,"flow_in","flow_out","error","iter","cpu"
 1.1936107E+001, 1.0000827E+000, 1.0328870E+000, 9.9375188E-004, 1.3000000E+001, 2.5749187E+001
 1.2024766E+001, 1.0001149E+000, 1.0395651E+000, 9.4900854E-004, 1.2000000E+001, 2.5795703E+001
 1.2113425E+001, 1.0001535E+000, 1.0430449E+000, 9.9908274E-004, 7.1000000E+001, 2.5943641E+001
 1.2202083E+001, 1.0001877E+000, 1.0437869E+000, 9.9978455E-004, 6.8000000E+001, 2.6076829E+001
 1.2290742E+001, 1.0001867E+000, 1.0366766E+000, 9.9992917E-004, 3.6800000E+002, 2.6696523E+001
 1.2379401E+001, 1.0001856E+000, 1.0298552E+000, 9.9962657E-004, 2.5000000E+001, 2.6762015E+001
 1.2468060E+001, 1.0001845E+000, 1.0235306E+000, 9.9861980E-004, 1.6000000E+001, 2.6819396E+001
 1.2556718E+001, 1.0001828E+000, 1.0177143E+000, 9.9666122E-004, 1.0000000E+001, 2.6866685E+001
 1.2645377E+001, 1.0001806E+000, 1.0123345E+000, 9.9232421E-004, 8.0000000E+000, 2.6906806E+001
 1.2734036E+001, 1.0001775E+000, 1.0075554E+000, 9.9357214E-004, 9.0000000E+000, 2.6948300E+001
 1.2822694E+001, 1.0001714E+000, 1.0034740E+000, 9.5782778E-004, 9.0000000E+000, 2.6994996E+001
 1.2911353E+001, 1.0001613E+000, 1.0000920E+000, 8.9116810E-004, 1.0000000E+001, 2.7037419E+001
 1.3000012E+001, 1.0001469E+000, 9.9720350E-001, 9.2744348E-004, 1.0000000E+001, 2.7080402E+001
 1.3088671E+001, 1.0001277E+000, 9.9455031E-001, 9.9700606E-004, 1.0000000E+001, 2.7124076E+001
 1.3177329E+001, 1.0001025E+000, 9.9192515E-001, 9.4868061E-004, 1.2000000E+001, 2.7170043E+001
 1.3265988E+001, 1.0000699E+000, 9.8923967E-001, 9.9406781E-004, 1.1000000E+001, 2.7215457E+001
 1.3354647E+001, 1.0000306E+000, 9.8655957E-001, 9.4205231E-004, 1.2000000E+001, 2.7304979E+001
 1.3443305E+001, 9.9998563E-001, 9.8394987E-001, 9.9216443E-004, 1.1000000E+001, 2.7364888E+001
 1.3531964E+001, 9.9993713E-001, 9.8143905E-001, 9.9610321E-004, 1.0000000E+001, 2.7418306E+001
