s,Pa,m/s,,s
Time,"pres","error","iter","cpu"
 4.0459988E-001, 4.9355378E-002, 9.8906649E-006, 3.0000000E+000, 6.4340252E+001
 4.0632726E-001, 4.9272990E-002, 9.9437335E-006, 5.0000000E+000, 6.4709816E+001
 4.0805465E-001, 4.9215584E-002, 9.9515196E-006, 3.0000000E+000, 6.5249882E+001
 4.1064573E-001, 4.9130103E-002, 9.8952342E-006, 4.6666667E+000, 6.5610584E+001
 4.1237312E-001, 4.9052315E-002, 9.9723814E-006, 5.0000000E+000, 6.5963745E+001
 4.1410051E-001, 4.8970136E-002, 9.9283185E-006, 3.0000000E+000, 6.6242111E+001
 4.1669159E-001, 4.8897725E-002, 9.9572609E-006, 4.6666667E+000, 6.6819345E+001
 4.1841898E-001, 4.8818453E-002, 9.9236539E-006, 3.0000000E+000, 6.7177712E+001
 4.2014637E-001, 4.8746922E-002, 9.9618825E-006, 5.0000000E+000, 6.7466061E+001
 4.2265010E-001, 4.8669586E-002, 9.9007424E-006, 4.0697749E+000, 6.7821982E+001
 4.2420279E-001, 4.8585435E-002, 9.9412928E-006, 5.0000000E+000, 6.8187790E+001
 4.2653183E-001, 4.8510029E-002, 9.7832086E-006, 2.6666667E+000, 6.8538387E+001
 4.2808452E-001, 4.8433992E-002, 9.9410510E-006, 3.0000000E+000, 6.9214508E+001
 4.3041355E-001, 4.8351202E-002, 9.8738736E-006, 3.6666667E+000, 6.9843393E+001
 4.3274259E-001, 4.8265564E-002, 9.8541864E-006, 4.0000000E+000, 7.0571738E+001
 4.3429528E-001, 4.8185316E-002, 9.8239025E-006, 3.0000000E+000, 7.1487808E+001
 4.3662432E-001, 4.8108157E-002, 9.9596659E-006, 4.3333333E+000, 7.1829538E+001
 4.3817701E-001, 4.8029036E-002, 9.7575550E-006, 2.5000000E+000, 7.2169163E+001
 4.4050604E-001, 4.7961950E-002, 9.9302901E-006, 3.0000000E+000, 7.2508572E+001
 4.4205873E-001, 4.7877483E-002, 9.8517864E-006, 4.5000000E+000, 7.3093628E+001
 4.4438777E-001, 4.7797356E-002, 9.9009632E-006, 3.0000000E+000, 7.3568089E+001
 4.4671680E-001, 4.7716779E-002, 9.9044449E-006, 4.0000000E+000, 7.3978764E+001
