s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 1.2800000E-001, 2.1554074E-001, 2.5393664E-001, 1.6315174E+000, 9.9983662E-006, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3000000E-001, 2.1821188E-001, 2.5708494E-001, 1.6323369E+000, 9.9728189E-006, 1.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3200000E-001, 2.2088398E-001, 2.6023463E-001, 1.6325415E+000, 9.9949483E-006, 1.9000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3400000E-001, 2.2355727E-001, 2.6338594E-001, 1.6333989E+000, 9.9506669E-006, 1.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3600000E-001, 2.2623154E-001, 2.6653872E-001, 1.6337100E+000, 9.9780205E-006, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.3800000E-001, 2.2890704E-001, 2.6969319E-001, 1.6345054E+000, 9.9722600E-006, 1.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4000000E-001, 2.3158356E-001, 2.7284926E-001, 1.6349870E+000, 9.9946035E-006, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4200000E-001, 2.3426133E-001, 2.7600710E-001, 1.6356519E+000, 9.9867042E-006, 1.7000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4400000E-001, 2.3694027E-001, 2.7916671E-001, 1.6362259E+000, 9.9721391E-006, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4600000E-001, 2.3962039E-001, 2.8232808E-001, 1.6368317E+000, 9.9868361E-006, 1.7000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.4800000E-001, 2.4230172E-001, 2.8549132E-001, 1.6375114E+000, 9.9745127E-006, 2.1000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5000000E-001, 2.4498428E-001, 2.8865641E-001, 1.6380572E+000, 9.9707428E-006, 1.8000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5200000E-001, 2.4672007E-001, 2.9070523E-001, 1.0690457E+000, 9.9760905E-006, 4.9100000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5400000E-001, 2.4843755E-001, 2.9273469E-001, 1.0526674E+000, 9.9370064E-006, 8.9000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5600000E-001, 2.5015450E-001, 2.9476393E-001, 1.0507552E+000, 9.7093020E-006, 7.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5800000E-001, 2.5187058E-001, 2.9679281E-001, 1.0492334E+000, 8.7192206E-006, 6.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6000000E-001, 2.5358499E-001, 2.9882077E-001, 1.0482516E+000, 9.1864194E-006, 8.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6200000E-001, 2.5530081E-001, 3.0085115E-001, 1.0514166E+000, 9.9843150E-006, 2.3000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6400000E-001, 2.5702506E-001, 3.0289097E-001, 1.0559028E+000, 9.9316193E-006, 5.1000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6600000E-001, 2.5875042E-001, 3.0493240E-001, 1.0551462E+000, 9.9058549E-006, 1.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.6800000E-001, 2.6047621E-001, 3.0697498E-001, 1.0553684E+000, 9.8893634E-006, 1.3000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7000000E-001, 2.6220343E-001, 3.0901970E-001, 1.0571383E+000, 9.8876485E-006, 1.4000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7200000E-001, 2.6393172E-001, 3.1106611E-001, 1.0570389E+000, 9.9622456E-006, 1.7000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7400000E-001, 2.6566140E-001, 3.1311452E-001, 1.0579606E+000, 9.9680719E-006, 1.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7600000E-001, 2.6739211E-001, 3.1516453E-001, 1.0580183E+000, 9.9653057E-006, 1.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.7800000E-001, 2.6912402E-001, 3.1721629E-001, 1.0588580E+000, 9.9191970E-006, 1.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8000000E-001, 2.7085687E-001, 3.1926948E-001, 1.0589793E+000, 9.9104062E-006, 1.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8200000E-001, 2.7259084E-001, 3.2132425E-001, 1.0597280E+000, 9.9135096E-006, 1.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8400000E-001, 2.7432573E-001, 3.2338035E-001, 1.0599874E+000, 9.9866011E-006, 1.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8600000E-001, 2.7606169E-001, 3.2543788E-001, 1.0607845E+000, 9.9680221E-006, 1.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.8800000E-001, 2.7779856E-001, 3.2749663E-001, 1.0610178E+000, 9.9707998E-006, 1.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9000000E-001, 2.7953648E-001, 3.2955668E-001, 1.0616466E+000, 9.9247742E-006, 1.6000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.9200000E-001, 2.8127529E-001, 3.3161781E-001, 1.0619423E+000, 9.9972418E-006, 1.5000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
