s,s
Time,"cpu"
 1.3594145E+001, 2.9406705E+003
 1.3632594E+001, 2.9480384E+003
 1.3658227E+001, 2.9543003E+003
 1.3683860E+001, 2.9587350E+003
 1.3722310E+001, 2.9657691E+003
 1.3747943E+001, 2.9731465E+003
 1.3773576E+001, 2.9788902E+003
 1.3812025E+001, 2.9855484E+003
 1.3837658E+001, 2.9925848E+003
 1.3863291E+001, 2.9977571E+003
 1.3901741E+001, 3.0048077E+003
 1.3927374E+001, 3.0120402E+003
 1.3953007E+001, 3.0186061E+003
 1.3991456E+001, 3.0252992E+003
 1.4017089E+001, 3.0325524E+003
 1.4042722E+001, 3.0380931E+003
 1.4081172E+001, 3.0452943E+003
 1.4106805E+001, 3.0525804E+003
 1.4132438E+001, 3.0588925E+003
 1.4172169E+001, 3.0668677E+003
 1.4200365E+001, 3.0738921E+003
 1.4228562E+001, 3.0786209E+003
 1.4256758E+001, 3.0843208E+003
 1.4281776E+001, 3.0917452E+003
 1.4319303E+001, 3.0994807E+003
 1.4344321E+001, 3.1060765E+003
 1.4378423E+001, 3.1145189E+003
 1.4400015E+001, 3.1236801E+003
 1.4432404E+001, 3.1320299E+003
 1.4464793E+001, 3.1412540E+003
 1.4497182E+001, 3.1507734E+003
 1.4529570E+001, 3.1603122E+003
 1.4551163E+001, 3.1676126E+003
 1.4583552E+001, 3.1750707E+003
 1.4615941E+001, 3.1838193E+003
 1.4649409E+001, 3.1928090E+003
 1.4673161E+001, 3.2003968E+003
 1.4708788E+001, 3.2081480E+003
 1.4732540E+001, 3.2150365E+003
 1.4768168E+001, 3.2223376E+003
 1.4791920E+001, 3.2291667E+003
 1.4827547E+001, 3.2364156E+003
 1.4851299E+001, 3.2433271E+003
 1.4886927E+001, 3.2507450E+003
 1.4910679E+001, 3.2572631E+003
 1.4946306E+001, 3.2639233E+003
 1.4970058E+001, 3.2709732E+003
 1.5005686E+001, 3.2778769E+003
 1.5041314E+001, 3.2847721E+003
 1.5065065E+001, 3.2910308E+003
 1.5100693E+001, 3.2971244E+003
 1.5124445E+001, 3.3041507E+003
 1.5160072E+001, 3.3108572E+003
 1.5183824E+001, 3.3179782E+003
 1.5221827E+001, 3.3259150E+003
 1.5247954E+001, 3.3326187E+003
 1.5272459E+001, 3.3392473E+003
 1.5306785E+001, 3.3460953E+003
 1.5342255E+001, 3.3539619E+003
 1.5367427E+001, 3.3611205E+003
 1.5392599E+001, 3.3669621E+003
 1.5430357E+001, 3.3739425E+003
 1.5455529E+001, 3.3809141E+003
 1.5480701E+001, 3.3863698E+003
 1.5514782E+001, 3.3939825E+003
 1.5547025E+001, 3.4038235E+003
 1.5580343E+001, 3.4117480E+003
 1.5603988E+001, 3.4190491E+003
 1.5639455E+001, 3.4272219E+003
 1.5663100E+001, 3.4354767E+003
 1.5698567E+001, 3.4436720E+003
 1.5722212E+001, 3.4511905E+003
 1.5758862E+001, 3.4583845E+003
 1.5784871E+001, 3.4653825E+003
 1.5813481E+001, 3.4707178E+003
 1.5842091E+001, 3.4758477E+003
 1.5870702E+001, 3.4792106E+003
 1.5913617E+001, 3.4866080E+003
 1.5942228E+001, 3.4934850E+003
 1.5970838E+001, 3.4996177E+003
 1.5999448E+001, 3.5056553E+003
 1.6025997E+001, 3.5115704E+003
 1.6050485E+001, 3.5185429E+003
 1.6087216E+001, 3.5261887E+003
 1.6112928E+001, 3.5336549E+003
 1.6153332E+001, 3.5408880E+003
 1.6180269E+001, 3.5481546E+003
 1.6207205E+001, 3.5540899E+003
 1.6234141E+001, 3.5599716E+003
 1.6261077E+001, 3.5662616E+003
 1.6301482E+001, 3.5738592E+003
 1.6328418E+001, 3.5819876E+003
 1.6355354E+001, 3.5882198E+003
 1.6382291E+001, 3.5943085E+003
 1.6422695E+001, 3.6022730E+003
 1.6449632E+001, 3.6095016E+003
 1.6475056E+001, 3.6163403E+003
 1.6510924E+001, 3.6241488E+003
 1.6534836E+001, 3.6314096E+003
 1.6570704E+001, 3.6371079E+003
 1.6594616E+001, 3.6438936E+003
 1.6630484E+001, 3.6504736E+003
 1.6654396E+001, 3.6573245E+003
 1.6690264E+001, 3.6642628E+003
 1.6714176E+001, 3.6711633E+003
 1.6751240E+001, 3.6777580E+003
 1.6777543E+001, 3.6841575E+003
 1.6803846E+001, 3.6895657E+003
 1.6830149E+001, 3.6956703E+003
 1.6869604E+001, 3.7016975E+003
 1.6895908E+001, 3.7077237E+003
 1.6922211E+001, 3.7132063E+003
 1.6961666E+001, 3.7214255E+003
 1.6987969E+001, 3.7295005E+003
 1.7014272E+001, 3.7358567E+003
 1.7049139E+001, 3.7443384E+003
 1.7071889E+001, 3.7538175E+003
 1.7106014E+001, 3.7635509E+003
 1.7140138E+001, 3.7750292E+003
 1.7162888E+001, 3.7844715E+003
 1.7197012E+001, 3.7928166E+003
 1.7231137E+001, 3.8024472E+003
 1.7253886E+001, 3.8099316E+003
 1.7288011E+001, 3.8180717E+003
 1.7311898E+001, 3.8252569E+003
 1.7349435E+001, 3.8314268E+003
 1.7374460E+001, 3.8374073E+003
 1.7411997E+001, 3.8437634E+003
 1.7438273E+001, 3.8506603E+003
 1.7465800E+001, 3.8562011E+003
 1.7493327E+001, 3.8617691E+003
 1.7520854E+001, 3.8679605E+003
 1.7562145E+001, 3.8745953E+003
 1.7589672E+001, 3.8798694E+003
 1.7617199E+001, 3.8848808E+003
 1.7644726E+001, 3.8908039E+003
 1.7672253E+001, 3.8970230E+003
 1.7713544E+001, 3.9051335E+003
 1.7741071E+001, 3.9130701E+003
 1.7768598E+001, 3.9194461E+003
 1.7796125E+001, 3.9256521E+003
 1.7823652E+001, 3.9317828E+003
 1.7851180E+001, 3.9377737E+003
 1.7888296E+001, 3.9462175E+003
 1.7913040E+001, 3.9528239E+003
 1.7950157E+001, 3.9601213E+003
 1.7974901E+001, 3.9670412E+003
 1.8012018E+001, 3.9740021E+003
 1.8036762E+001, 3.9808499E+003
 1.8061506E+001, 3.9867886E+003
 1.8098623E+001, 3.9928713E+003
 1.8124604E+001, 3.9989983E+003
 1.8151823E+001, 4.0039032E+003
 1.8192651E+001, 4.0114552E+003
 1.8219870E+001, 4.0190456E+003
 1.8248449E+001, 4.0253443E+003
 1.8278390E+001, 4.0316133E+003
 1.8308331E+001, 4.0379231E+003
 1.8338271E+001, 4.0441189E+003
 1.8368212E+001, 4.0505059E+003
 1.8398152E+001, 4.0561228E+003
 1.8428093E+001, 4.0620048E+003
 1.8458034E+001, 4.0675848E+003
 1.8487974E+001, 4.0732033E+003
 1.8517915E+001, 4.0788664E+003
 1.8544740E+001, 4.0850606E+003
 1.8571566E+001, 4.0909259E+003
 1.8611804E+001, 4.0983645E+003
 1.8638630E+001, 4.1052030E+003
 1.8665455E+001, 4.1103488E+003
 1.8692281E+001, 4.1163254E+003
 1.8732519E+001, 4.1229357E+003
 1.8759345E+001, 4.1287926E+003
 1.8786170E+001, 4.1333151E+003
 1.8812996E+001, 4.1386852E+003
 1.8853234E+001, 4.1458519E+003
 1.8878570E+001, 4.1553252E+003
 1.8902416E+001, 4.1640275E+003
 1.8938186E+001, 4.1735339E+003
 1.8962032E+001, 4.1820075E+003
 1.8997802E+001, 4.1901520E+003
 1.9021648E+001, 4.1980392E+003
 1.9057417E+001, 4.2056203E+003
 1.9083648E+001, 4.2132465E+003
 1.9122995E+001, 4.2210459E+003
 1.9149226E+001, 4.2285165E+003
 1.9175457E+001, 4.2344423E+003
 1.9201688E+001, 4.2402660E+003
 1.9241034E+001, 4.2475148E+003
 1.9267265E+001, 4.2542848E+003
 1.9293496E+001, 4.2590719E+003
 1.9332842E+001, 4.2660669E+003
