s,m/s,m/s,Pa,m/s,,,,,m3/s,m3/s
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res","flow_in","flow_out"
 1.3800000E-001, 5.7221033E-002, 6.7521281E-002, 4.0526219E-001, 7.6930008E-005, 1.0000000E+000, 3.4000000E+001, 4.9222434E-001, 8.0019128E-009, 1.5144000E-002, 0.0000000E+000
 1.4000000E-001, 5.7885817E-002, 6.8306397E-002, 4.0529843E-001, 8.0648789E-005, 1.0000000E+000, 3.4000000E+001, 4.9208169E-001, 8.2317793E-009, 1.5320000E-002, 0.0000000E+000
 1.4200000E-001, 5.8550609E-002, 6.9091533E-002, 4.0533508E-001, 8.4536411E-005, 1.0000000E+000, 3.4000000E+001, 4.9192399E-001, 8.4633652E-009, 1.5496000E-002, 0.0000000E+000
 1.4400000E-001, 5.9215410E-002, 6.9876691E-002, 4.0537213E-001, 8.8594161E-005, 1.0000000E+000, 3.4000000E+001, 4.9175569E-001, 8.6981649E-009, 1.5672000E-002, 0.0000000E+000
 1.4600000E-001, 5.9880220E-002, 7.0661872E-002, 4.0540959E-001, 9.2829058E-005, 1.0000000E+000, 3.4000000E+001, 4.9157842E-001, 8.9360966E-009, 1.5848000E-002, 0.0000000E+000
 1.4800000E-001, 6.0545042E-002, 7.1447078E-002, 4.0544746E-001, 9.7249163E-005, 1.0000000E+000, 3.4000000E+001, 4.9139099E-001, 9.1752875E-009, 1.6024000E-002, 0.0000000E+000
 1.5000000E-001, 6.1209876E-002, 7.2232308E-002, 4.0548575E-001, 1.0186125E-004, 1.0000000E+000, 3.4000000E+001, 4.9119514E-001, 9.4156114E-009, 1.6200000E-002, 0.0000000E+000
 1.5200000E-001, 6.1632862E-002, 7.2732277E-002, 2.5885544E-001, 3.3380611E-004, 1.0000000E+000, 3.7000000E+001, 5.0844599E-001, 7.1662604E-009, 1.6312000E-002, 0.0000000E+000
 1.5400000E-001, 6.2055897E-002, 7.3232397E-002, 2.5888894E-001, 1.5650346E-004, 1.0000000E+000, 3.6000000E+001, 5.0229023E-001, 5.2682318E-009, 1.6424000E-002, 0.0000000E+000
 1.5600000E-001, 6.2478954E-002, 7.3732548E-002, 2.5891584E-001, 1.2542691E-004, 1.0000000E+000, 3.5000000E+001, 4.9076205E-001, 4.6422145E-009, 1.6536000E-002, 0.0000000E+000
 1.5800000E-001, 6.2902033E-002, 7.4232704E-002, 2.5894188E-001, 2.0055246E-004, 1.0000000E+000, 3.5000000E+001, 4.9543802E-001, 6.8144922E-009, 1.6648000E-002, 0.0000000E+000
 1.6000000E-001, 6.3325137E-002, 7.4732882E-002, 2.5896840E-001, 1.6238062E-004, 1.0000000E+000, 3.5000000E+001, 4.8858094E-001, 4.2961424E-009, 1.6760000E-002, 0.0000000E+000
 1.6200000E-001, 6.3748271E-002, 7.5233098E-002, 2.5899550E-001, 1.2023669E-004, 1.0000000E+000, 3.4000000E+001, 4.8804010E-001, 8.7047908E-009, 1.6872000E-002, 0.0000000E+000
 1.6400000E-001, 6.4171434E-002, 7.5733357E-002, 2.5902295E-001, 1.1101295E-004, 1.0000000E+000, 3.4000000E+001, 4.7922607E-001, 4.8397906E-009, 1.6984000E-002, 0.0000000E+000
 1.6600000E-001, 6.4594628E-002, 7.6233659E-002, 2.5905057E-001, 1.2189695E-004, 1.0000000E+000, 3.4000000E+001, 4.8762631E-001, 9.0377932E-009, 1.7096000E-002, 0.0000000E+000
