s,kW,
Time,"MY NET HF","TOTAL ENERGY ABORBED"
 5.4620516E+001, 0.0000000E+000, 0.0000000E+000
 5.4640357E+001, 0.0000000E+000, 0.0000000E+000
 5.4660251E+001, 0.0000000E+000, 0.0000000E+000
 5.4680305E+001, 0.0000000E+000, 0.0000000E+000
 5.4700082E+001, 0.0000000E+000, 0.0000000E+000
 5.4720083E+001, 0.0000000E+000, 0.0000000E+000
 5.4740110E+001, 0.0000000E+000, 0.0000000E+000
 5.4760058E+001, 0.0000000E+000, 0.0000000E+000
 5.4780112E+001, 0.0000000E+000, 0.0000000E+000
 5.4800438E+001, 0.0000000E+000, 0.0000000E+000
 5.4820251E+001, 0.0000000E+000, 0.0000000E+000
 5.4840320E+001, 0.0000000E+000, 0.0000000E+000
 5.4860147E+001, 0.0000000E+000, 0.0000000E+000
 5.4880389E+001, 0.0000000E+000, 0.0000000E+000
 5.4900028E+001, 0.0000000E+000, 0.0000000E+000
 5.4920209E+001, 0.0000000E+000, 0.0000000E+000
 5.4940036E+001, 0.0000000E+000, 0.0000000E+000
 5.4960140E+001, 0.0000000E+000, 0.0000000E+000
 5.4980032E+001, 0.0000000E+000, 0.0000000E+000
 5.5000066E+001, 0.0000000E+000, 0.0000000E+000
 5.5020039E+001, 0.0000000E+000, 0.0000000E+000
 5.5040283E+001, 0.0000000E+000, 0.0000000E+000
 5.5060103E+001, 0.0000000E+000, 0.0000000E+000
 5.5080319E+001, 0.0000000E+000, 0.0000000E+000
 5.5100018E+001, 0.0000000E+000, 0.0000000E+000
 5.5120174E+001, 0.0000000E+000, 0.0000000E+000
 5.5140088E+001, 0.0000000E+000, 0.0000000E+000
 5.5160465E+001, 0.0000000E+000, 0.0000000E+000
 5.5180013E+001, 0.0000000E+000, 0.0000000E+000
 5.5200434E+001, 0.0000000E+000, 0.0000000E+000
 5.5220210E+001, 0.0000000E+000, 0.0000000E+000
 5.5240555E+001, 0.0000000E+000, 0.0000000E+000
 5.5260213E+001, 0.0000000E+000, 0.0000000E+000
 5.5280174E+001, 0.0000000E+000, 0.0000000E+000
