s,kW,
Time,"MY NET HF","TOTAL ENERGY ABORBED"
 5.2580820E+001, 0.0000000E+000, 0.0000000E+000
 5.2600212E+001, 0.0000000E+000, 0.0000000E+000
 5.2620768E+001, 0.0000000E+000, 0.0000000E+000
 5.2640230E+001, 0.0000000E+000, 0.0000000E+000
 5.2660135E+001, 0.0000000E+000, 0.0000000E+000
 5.2680111E+001, 0.0000000E+000, 0.0000000E+000
 5.2700375E+001, 0.0000000E+000, 0.0000000E+000
 5.2720335E+001, 0.0000000E+000, 0.0000000E+000
 5.2740258E+001, 0.0000000E+000, 0.0000000E+000
 5.2760541E+001, 0.0000000E+000, 0.0000000E+000
 5.2780269E+001, 0.0000000E+000, 0.0000000E+000
 5.2800519E+001, 0.0000000E+000, 0.0000000E+000
 5.2820310E+001, 0.0000000E+000, 0.0000000E+000
 5.2840124E+001, 0.0000000E+000, 0.0000000E+000
 5.2860086E+001, 0.0000000E+000, 0.0000000E+000
 5.2880605E+001, 0.0000000E+000, 0.0000000E+000
 5.2900621E+001, 0.0000000E+000, 0.0000000E+000
 5.2920280E+001, 0.0000000E+000, 0.0000000E+000
 5.2940388E+001, 0.0000000E+000, 0.0000000E+000
 5.2960191E+001, 0.0000000E+000, 0.0000000E+000
 5.2980568E+001, 0.0000000E+000, 0.0000000E+000
 5.3000241E+001, 0.0000000E+000, 0.0000000E+000
 5.3020185E+001, 0.0000000E+000, 0.0000000E+000
 5.3040451E+001, 0.0000000E+000, 0.0000000E+000
 5.3060112E+001, 0.0000000E+000, 0.0000000E+000
 5.3080395E+001, 0.0000000E+000, 0.0000000E+000
 5.3100219E+001, 0.0000000E+000, 0.0000000E+000
 5.3120089E+001, 0.0000000E+000, 0.0000000E+000
 5.3140163E+001, 0.0000000E+000, 0.0000000E+000
 5.3160261E+001, 0.0000000E+000, 0.0000000E+000
 5.3180421E+001, 0.0000000E+000, 0.0000000E+000
 5.3200022E+001, 0.0000000E+000, 0.0000000E+000
 5.3220251E+001, 0.0000000E+000, 0.0000000E+000
 5.3240330E+001, 0.0000000E+000, 0.0000000E+000
 5.3260088E+001, 0.0000000E+000, 0.0000000E+000
 5.3280243E+001, 0.0000000E+000, 0.0000000E+000
 5.3300053E+001, 0.0000000E+000, 0.0000000E+000
 5.3320599E+001, 0.0000000E+000, 0.0000000E+000
 5.3340314E+001, 0.0000000E+000, 0.0000000E+000
 5.3360228E+001, 0.0000000E+000, 0.0000000E+000
 5.3380554E+001, 0.0000000E+000, 0.0000000E+000
 5.3400287E+001, 0.0000000E+000, 0.0000000E+000
 5.3420318E+001, 0.0000000E+000, 0.0000000E+000
 5.3440020E+001, 0.0000000E+000, 0.0000000E+000
 5.3460359E+001, 0.0000000E+000, 0.0000000E+000
 5.3480158E+001, 0.0000000E+000, 0.0000000E+000
 5.3500372E+001, 0.0000000E+000, 0.0000000E+000
 5.3520541E+001, 0.0000000E+000, 0.0000000E+000
 5.3540195E+001, 0.0000000E+000, 0.0000000E+000
 5.3560455E+001, 0.0000000E+000, 0.0000000E+000
 5.3580332E+001, 0.0000000E+000, 0.0000000E+000
 5.3600301E+001, 0.0000000E+000, 0.0000000E+000
 5.3620086E+001, 0.0000000E+000, 0.0000000E+000
 5.3640222E+001, 0.0000000E+000, 0.0000000E+000
 5.3660370E+001, 0.0000000E+000, 0.0000000E+000
 5.3680167E+001, 0.0000000E+000, 0.0000000E+000
 5.3700154E+001, 0.0000000E+000, 0.0000000E+000
 5.3720400E+001, 0.0000000E+000, 0.0000000E+000
 5.3740248E+001, 0.0000000E+000, 0.0000000E+000
 5.3760181E+001, 0.0000000E+000, 0.0000000E+000
 5.3780135E+001, 0.0000000E+000, 0.0000000E+000
 5.3800437E+001, 0.0000000E+000, 0.0000000E+000
 5.3820525E+001, 0.0000000E+000, 0.0000000E+000
 5.3840091E+001, 0.0000000E+000, 0.0000000E+000
 5.3860387E+001, 0.0000000E+000, 0.0000000E+000
 5.3880196E+001, 0.0000000E+000, 0.0000000E+000
 5.3900228E+001, 0.0000000E+000, 0.0000000E+000
 5.3920193E+001, 0.0000000E+000, 0.0000000E+000
 5.3940232E+001, 0.0000000E+000, 0.0000000E+000
 5.3960328E+001, 0.0000000E+000, 0.0000000E+000
 5.3980222E+001, 0.0000000E+000, 0.0000000E+000
 5.4000553E+001, 0.0000000E+000, 0.0000000E+000
 5.4020426E+001, 0.0000000E+000, 0.0000000E+000
 5.4040294E+001, 0.0000000E+000, 0.0000000E+000
 5.4060090E+001, 0.0000000E+000, 0.0000000E+000
 5.4080250E+001, 0.0000000E+000, 0.0000000E+000
 5.4100194E+001, 0.0000000E+000, 0.0000000E+000
 5.4120074E+001, 0.0000000E+000, 0.0000000E+000
 5.4140467E+001, 0.0000000E+000, 0.0000000E+000
 5.4160616E+001, 0.0000000E+000, 0.0000000E+000
 5.4180447E+001, 0.0000000E+000, 0.0000000E+000
 5.4200188E+001, 0.0000000E+000, 0.0000000E+000
 5.4220461E+001, 0.0000000E+000, 0.0000000E+000
 5.4240062E+001, 0.0000000E+000, 0.0000000E+000
 5.4260477E+001, 0.0000000E+000, 0.0000000E+000
 5.4280134E+001, 0.0000000E+000, 0.0000000E+000
 5.4300341E+001, 0.0000000E+000, 0.0000000E+000
 5.4320211E+001, 0.0000000E+000, 0.0000000E+000
 5.4340426E+001, 0.0000000E+000, 0.0000000E+000
 5.4360271E+001, 0.0000000E+000, 0.0000000E+000
 5.4380174E+001, 0.0000000E+000, 0.0000000E+000
 5.4400412E+001, 0.0000000E+000, 0.0000000E+000
 5.4420528E+001, 0.0000000E+000, 0.0000000E+000
 5.4440232E+001, 0.0000000E+000, 0.0000000E+000
 5.4460074E+001, 0.0000000E+000, 0.0000000E+000
 5.4480187E+001, 0.0000000E+000, 0.0000000E+000
 5.4500198E+001, 0.0000000E+000, 0.0000000E+000
 5.4520183E+001, 0.0000000E+000, 0.0000000E+000
 5.4540178E+001, 0.0000000E+000, 0.0000000E+000
 5.4560290E+001, 0.0000000E+000, 0.0000000E+000
 5.4580429E+001, 0.0000000E+000, 0.0000000E+000
 5.4600418E+001, 0.0000000E+000, 0.0000000E+000
 5.4620539E+001, 0.0000000E+000, 0.0000000E+000
 5.4640628E+001, 0.0000000E+000, 0.0000000E+000
 5.4660300E+001, 0.0000000E+000, 0.0000000E+000
 5.4680338E+001, 0.0000000E+000, 0.0000000E+000
 5.4700299E+001, 0.0000000E+000, 0.0000000E+000
 5.4720521E+001, 0.0000000E+000, 0.0000000E+000
