s,kW,
Time,"MY NET HF","TOTAL ENERGY ABORBED"
 5.2540572E+001, 0.0000000E+000, 0.0000000E+000
 5.2560592E+001, 0.0000000E+000, 0.0000000E+000
 5.2580611E+001, 0.0000000E+000, 0.0000000E+000
 5.2600631E+001, 0.0000000E+000, 0.0000000E+000
 5.2620650E+001, 0.0000000E+000, 0.0000000E+000
 5.2640669E+001, 0.0000000E+000, 0.0000000E+000
 5.2660689E+001, 0.0000000E+000, 0.0000000E+000
 5.2680708E+001, 0.0000000E+000, 0.0000000E+000
 5.2700728E+001, 0.0000000E+000, 0.0000000E+000
 5.2720747E+001, 0.0000000E+000, 0.0000000E+000
 5.2740767E+001, 0.0000000E+000, 0.0000000E+000
 5.2760786E+001, 0.0000000E+000, 0.0000000E+000
 5.2780806E+001, 0.0000000E+000, 0.0000000E+000
 5.2800825E+001, 0.0000000E+000, 0.0000000E+000
 5.2820845E+001, 0.0000000E+000, 0.0000000E+000
 5.2840864E+001, 0.0000000E+000, 0.0000000E+000
 5.2860884E+001, 0.0000000E+000, 0.0000000E+000
 5.2880903E+001, 0.0000000E+000, 0.0000000E+000
 5.2900922E+001, 0.0000000E+000, 0.0000000E+000
 5.2920942E+001, 0.0000000E+000, 0.0000000E+000
 5.2940961E+001, 0.0000000E+000, 0.0000000E+000
 5.2960981E+001, 0.0000000E+000, 0.0000000E+000
 5.2981000E+001, 0.0000000E+000, 0.0000000E+000
 5.3001020E+001, 0.0000000E+000, 0.0000000E+000
 5.3021039E+001, 0.0000000E+000, 0.0000000E+000
 5.3041059E+001, 0.0000000E+000, 0.0000000E+000
 5.3060184E+001, 0.0000000E+000, 0.0000000E+000
 5.3080099E+001, 0.0000000E+000, 0.0000000E+000
 5.3100539E+001, 0.0000000E+000, 0.0000000E+000
 5.3120139E+001, 0.0000000E+000, 0.0000000E+000
 5.3140893E+001, 0.0000000E+000, 0.0000000E+000
 5.3160493E+001, 0.0000000E+000, 0.0000000E+000
 5.3180094E+001, 0.0000000E+000, 0.0000000E+000
 5.3200848E+001, 0.0000000E+000, 0.0000000E+000
 5.3220448E+001, 0.0000000E+000, 0.0000000E+000
 5.3240049E+001, 0.0000000E+000, 0.0000000E+000
 5.3260802E+001, 0.0000000E+000, 0.0000000E+000
 5.3280403E+001, 0.0000000E+000, 0.0000000E+000
 5.3300003E+001, 0.0000000E+000, 0.0000000E+000
 5.3320757E+001, 0.0000000E+000, 0.0000000E+000
 5.3340358E+001, 0.0000000E+000, 0.0000000E+000
 5.3361111E+001, 0.0000000E+000, 0.0000000E+000
 5.3380712E+001, 0.0000000E+000, 0.0000000E+000
 5.3400312E+001, 0.0000000E+000, 0.0000000E+000
 5.3421066E+001, 0.0000000E+000, 0.0000000E+000
 5.3440666E+001, 0.0000000E+000, 0.0000000E+000
 5.3460267E+001, 0.0000000E+000, 0.0000000E+000
 5.3481021E+001, 0.0000000E+000, 0.0000000E+000
 5.3500621E+001, 0.0000000E+000, 0.0000000E+000
 5.3520222E+001, 0.0000000E+000, 0.0000000E+000
 5.3540975E+001, 0.0000000E+000, 0.0000000E+000
 5.3560576E+001, 0.0000000E+000, 0.0000000E+000
 5.3580177E+001, 0.0000000E+000, 0.0000000E+000
 5.3600236E+001, 0.0000000E+000, 0.0000000E+000
 5.3620153E+001, 0.0000000E+000, 0.0000000E+000
 5.3640149E+001, 0.0000000E+000, 0.0000000E+000
 5.3660128E+001, 0.0000000E+000, 0.0000000E+000
 5.3680094E+001, 0.0000000E+000, 0.0000000E+000
 5.3700649E+001, 0.0000000E+000, 0.0000000E+000
 5.3720546E+001, 0.0000000E+000, 0.0000000E+000
 5.3740443E+001, 0.0000000E+000, 0.0000000E+000
 5.3760340E+001, 0.0000000E+000, 0.0000000E+000
 5.3780238E+001, 0.0000000E+000, 0.0000000E+000
 5.3800135E+001, 0.0000000E+000, 0.0000000E+000
 5.3820032E+001, 0.0000000E+000, 0.0000000E+000
 5.3840615E+001, 0.0000000E+000, 0.0000000E+000
 5.3860512E+001, 0.0000000E+000, 0.0000000E+000
 5.3880409E+001, 0.0000000E+000, 0.0000000E+000
 5.3900306E+001, 0.0000000E+000, 0.0000000E+000
 5.3920203E+001, 0.0000000E+000, 0.0000000E+000
 5.3940205E+001, 0.0000000E+000, 0.0000000E+000
 5.3960523E+001, 0.0000000E+000, 0.0000000E+000
 5.3980657E+001, 0.0000000E+000, 0.0000000E+000
 5.4000097E+001, 0.0000000E+000, 0.0000000E+000
 5.4020231E+001, 0.0000000E+000, 0.0000000E+000
 5.4040365E+001, 0.0000000E+000, 0.0000000E+000
 5.4060499E+001, 0.0000000E+000, 0.0000000E+000
 5.4080633E+001, 0.0000000E+000, 0.0000000E+000
 5.4100073E+001, 0.0000000E+000, 0.0000000E+000
 5.4120207E+001, 0.0000000E+000, 0.0000000E+000
 5.4140341E+001, 0.0000000E+000, 0.0000000E+000
 5.4160475E+001, 0.0000000E+000, 0.0000000E+000
 5.4180609E+001, 0.0000000E+000, 0.0000000E+000
 5.4200049E+001, 0.0000000E+000, 0.0000000E+000
 5.4220183E+001, 0.0000000E+000, 0.0000000E+000
 5.4240317E+001, 0.0000000E+000, 0.0000000E+000
 5.4260280E+001, 0.0000000E+000, 0.0000000E+000
 5.4280201E+001, 0.0000000E+000, 0.0000000E+000
 5.4300450E+001, 0.0000000E+000, 0.0000000E+000
 5.4320311E+001, 0.0000000E+000, 0.0000000E+000
 5.4340224E+001, 0.0000000E+000, 0.0000000E+000
 5.4360054E+001, 0.0000000E+000, 0.0000000E+000
 5.4380205E+001, 0.0000000E+000, 0.0000000E+000
 5.4400429E+001, 0.0000000E+000, 0.0000000E+000
 5.4421047E+001, 0.0000000E+000, 0.0000000E+000
 5.4440544E+001, 0.0000000E+000, 0.0000000E+000
 5.4460301E+001, 0.0000000E+000, 0.0000000E+000
 5.4480621E+001, 0.0000000E+000, 0.0000000E+000
 5.4500061E+001, 0.0000000E+000, 0.0000000E+000
