Time Step,Iteration,Total,Mesh,I,J,K,Velocity Error,Mesh,I,J,K,Pressure Error
     80,      1,    162,      1,     12,      2,     17,  0.55511151E-16,      1,     16,     16,      1,  0.27189183E-02
     80,      1,    163,      1,     12,      2,     17,  0.55511151E-16,      6,      2,     12,      2,  0.28529166E-01
     81,      1,    164,      5,     17,      3,      5,  0.55511151E-16,      1,     16,     16,      1,  0.26350139E-02
     81,      1,    165,      1,     17,      5,     13,  0.55511151E-16,      6,      2,     12,      2,  0.29443922E-01
     82,      1,    166,      1,     17,      3,     12,  0.55511151E-16,      1,     16,     16,      1,  0.27412220E-02
     82,      1,    167,      1,     17,      3,     12,  0.55511151E-16,      6,      2,     12,      2,  0.31216779E-01
     83,      1,    168,      1,     12,      2,     17,  0.55511151E-16,      1,     16,     16,      1,  0.26582287E-02
     83,      1,    169,      1,     12,      4,     17,  0.55511151E-16,      6,      2,     12,      2,  0.32277347E-01
     84,      1,    170,      1,     17,      3,     12,  0.55511151E-16,      1,     16,     16,      1,  0.27673193E-02
     84,      1,    171,      1,     17,      3,     12,  0.55511151E-16,      6,      2,     12,      2,  0.34176057E-01
     85,      1,    172,      1,     13,      6,     17,  0.55511151E-16,      2,      6,      1,     14,  0.20203402E-02
     85,      1,    173,      1,     13,      6,     17,  0.55511151E-16,      6,      2,     12,      2,  0.32653146E-01
     86,      1,    174,      2,      5,      4,     17,  0.55511151E-16,      1,     16,     16,      1,  0.15923222E-02
     86,      1,    175,      1,     12,      4,     17,  0.55511151E-16,      6,      2,     12,      2,  0.33625377E-01
     87,      1,    176,      1,     17,      3,     12,  0.55511151E-16,      1,     16,     16,      1,  0.15998770E-02
     87,      1,    177,      1,     17,      3,     12,  0.55511151E-16,      6,      2,     12,      2,  0.35130737E-01
     88,      1,    178,      2,      5,      3,     17,  0.55511151E-16,      1,     16,     16,      1,  0.15726738E-02
     88,      1,    179,      1,     13,      4,     17,  0.55511151E-16,      6,      2,     12,      2,  0.36390736E-01
     89,      1,    180,      1,     13,      5,     17,  0.55511151E-16,      1,     16,     16,      1,  0.16069754E-02
     89,      1,    181,      1,     12,      4,     17,  0.55511151E-16,      6,      2,     12,      2,  0.37981389E-01
     90,      1,    182,      1,     12,      4,     17,  0.55511151E-16,      1,     16,     16,      1,  0.15818721E-02
     90,      1,    183,      1,     10,      3,     17,  0.55511151E-16,      6,      2,     12,      2,  0.39065533E-01
     91,      1,    184,      1,     14,     17,     10,  0.55511151E-16,      1,     16,     16,      1,  0.16184105E-02
     91,      1,    185,      1,      5,      5,     17,  0.55511151E-16,      6,      2,     12,      2,  0.40418938E-01
     92,      1,    186,      5,     17,      7,      4,  0.11102230E-15,      1,     16,     16,      1,  0.15955669E-02
     92,      1,    187,      1,     12,      2,     17,  0.55511151E-16,      6,      2,     12,      2,  0.41209764E-01
     93,      1,    188,      1,     10,      3,     17,  0.55511151E-16,      1,     16,     16,      1,  0.16341784E-02
     93,      1,    189,      1,     10,      3,     17,  0.55511151E-16,      6,      2,     12,      2,  0.42222779E-01
     94,      1,    190,      1,     10,      3,     17,  0.55511151E-16,      2,      1,     16,      1,  0.16444845E-02
     94,      1,    191,      1,     12,      4,     17,  0.55511151E-16,      6,      2,     12,      2,  0.42843860E-01
     95,      1,    192,      1,     10,      3,     17,  0.55511151E-16,      2,      1,     16,      1,  0.16257156E-02
     95,      1,    193,      1,     17,      5,     12,  0.55511151E-16,      6,      2,     12,      2,  0.43058682E-01
