s,m/s,m/s,Pa,m/s,,,,
Time,"u-vel","w-vel","pres","error","iter","scarc-iter","scarc-rate","scarc-res"
 2.1000000E-001, 1.7536947E-001, 4.1660964E-001,-1.6440468E-001, 4.8880099E-004, 1.0000000E+000, 4.7000000E+001, 5.3704503E-001, 3.9363688E-009
 2.1200000E-001, 1.7214658E-001, 4.1983639E-001,-1.6709711E-001, 3.7533588E-004, 1.0000000E+000, 4.7000000E+001, 5.3686428E-001, 3.8836457E-009
 2.1400000E-001, 1.6890157E-001, 4.2308252E-001,-1.6872837E-001, 4.1146777E-004, 1.0000000E+000, 4.7000000E+001, 5.3703705E-001, 3.9495308E-009
 2.1600000E-001, 1.6565597E-001, 4.2633762E-001,-1.6943683E-001, 5.8021251E-004, 1.0000000E+000, 4.7000000E+001, 5.3741232E-001, 4.0859582E-009
 2.1800000E-001, 1.6241708E-001, 4.2959905E-001,-1.6980348E-001, 6.1488666E-004, 1.0000000E+000, 4.7000000E+001, 5.3782694E-001, 4.2400758E-009
 2.2000000E-001, 1.5918198E-001, 4.3286866E-001,-1.7031723E-001, 5.5584432E-004, 1.0000000E+000, 4.7000000E+001, 5.3820272E-001, 4.3840842E-009
 2.2200000E-001, 1.5594502E-001, 4.3614904E-001,-1.7115786E-001, 4.7711186E-004, 1.0000000E+000, 4.7000000E+001, 5.3851975E-001, 4.5088760E-009
 2.2400000E-001, 1.5270299E-001, 4.3944123E-001,-1.7225184E-001, 4.2488266E-004, 1.0000000E+000, 4.7000000E+001, 5.3879313E-001, 4.6184675E-009
 2.2600000E-001, 1.4945648E-001, 4.4274426E-001,-1.7343754E-001, 4.0570728E-004, 1.0000000E+000, 4.7000000E+001, 5.3904671E-001, 4.7211670E-009
 2.2800000E-001, 1.4620845E-001, 4.4605606E-001,-1.7459705E-001, 4.0402753E-004, 1.0000000E+000, 4.7000000E+001, 5.3929590E-001, 4.8227444E-009
 2.3000000E-001, 1.4296228E-001, 4.4937447E-001,-1.7569901E-001, 4.0278448E-004, 1.0000000E+000, 4.7000000E+001, 5.3954366E-001, 4.9242687E-009
 2.3200000E-001, 1.3972061E-001, 4.5269787E-001,-1.7677279E-001, 3.9378727E-004, 1.0000000E+000, 4.7000000E+001, 5.3978995E-001, 5.0256769E-009
 2.3400000E-001, 1.3648518E-001, 4.5602520E-001,-1.7786224E-001, 3.7763888E-004, 1.0000000E+000, 4.7000000E+001, 5.4003600E-001, 5.1274886E-009
 2.3600000E-001, 1.3325731E-001, 4.5935567E-001,-1.7899471E-001, 3.5886282E-004, 1.0000000E+000, 4.7000000E+001, 5.4028171E-001, 5.2296543E-009
 2.3800000E-001, 1.3003839E-001, 4.6268854E-001,-1.8017471E-001, 3.4144221E-004, 1.0000000E+000, 4.7000000E+001, 5.4052720E-001, 5.3322443E-009
 2.4000000E-001, 1.2683012E-001, 4.6602301E-001,-1.8139331E-001, 3.2698881E-004, 1.0000000E+000, 4.7000000E+001, 5.4076740E-001, 5.4329019E-009
 2.4200000E-001, 1.2363448E-001, 4.6935829E-001,-1.8264014E-001, 3.2311929E-004, 1.0000000E+000, 4.7000000E+001, 5.4100180E-001, 5.5313469E-009
 2.4400000E-001, 1.2045364E-001, 4.7269366E-001,-1.8390993E-001, 3.3368478E-004, 1.0000000E+000, 4.7000000E+001, 5.4123136E-001, 5.6280495E-009
 2.4600000E-001, 1.1728978E-001, 4.7602856E-001,-1.8520282E-001, 3.4483482E-004, 1.0000000E+000, 4.7000000E+001, 5.4145519E-001, 5.7226614E-009
 2.4800000E-001, 1.1414508E-001, 4.7936261E-001,-1.8652140E-001, 3.5657645E-004, 1.0000000E+000, 4.7000000E+001, 5.4166743E-001, 5.8123556E-009
 2.5000000E-001, 1.1102173E-001, 4.8269563E-001,-1.8786771E-001, 3.6881448E-004, 1.0000000E+000, 4.7000000E+001, 5.4186250E-001, 5.8943047E-009
 2.5200000E-001, 1.1181638E-001, 4.8689149E-001, 2.0377264E-001, 7.8727755E-003, 1.0000000E+000, 4.7000000E+001, 5.4189928E-001, 5.9136789E-009
 2.5400000E-001, 1.1108295E-001, 4.9150111E-001, 1.0083602E-001, 7.4280118E-003, 1.0000000E+000, 4.7000000E+001, 5.3653056E-001, 3.7406427E-009
 2.5600000E-001, 1.0989113E-001, 4.9625858E-001, 5.9725896E-002, 4.0708381E-003, 1.0000000E+000, 4.7000000E+001, 5.3542400E-001, 3.4283893E-009
 2.5800000E-001, 1.0892841E-001, 5.0101132E-001, 6.0717438E-002, 1.4587139E-003, 1.0000000E+000, 4.7000000E+001, 5.3594438E-001, 3.5981749E-009
 2.6000000E-001, 1.0835440E-001, 5.0572564E-001, 7.4837150E-002, 2.5466202E-003, 1.0000000E+000, 4.7000000E+001, 5.3739616E-001, 4.0847037E-009
 2.6200000E-001, 1.0802560E-001, 5.1042851E-001, 8.4345381E-002, 2.0384444E-003, 1.0000000E+000, 4.7000000E+001, 5.3883446E-001, 4.6367878E-009
 2.6400000E-001, 1.0774569E-001, 5.1515951E-001, 8.4580836E-002, 5.7342919E-004, 1.0000000E+000, 4.7000000E+001, 5.3938269E-001, 4.8800323E-009
 2.6600000E-001, 1.0740149E-001, 5.1994634E-001, 7.8650730E-002, 6.8559641E-004, 1.0000000E+000, 4.7000000E+001, 5.3925227E-001, 4.8484148E-009
 2.6800000E-001, 1.0698073E-001, 5.2479905E-001, 7.1470526E-002, 8.9381043E-004, 1.0000000E+000, 4.7000000E+001, 5.3895322E-001, 4.7499651E-009
 2.7000000E-001, 1.0652634E-001, 5.2971525E-001, 6.6137568E-002, 6.9142616E-004, 1.0000000E+000, 4.7000000E+001, 5.3881142E-001, 4.7176868E-009
 2.7200000E-001, 1.0608473E-001, 5.3468895E-001, 6.3163441E-002, 4.7350294E-004, 1.0000000E+000, 4.7000000E+001, 5.3888104E-001, 4.7717254E-009
 2.7400000E-001, 1.0567921E-001, 5.3971714E-001, 6.1506647E-002, 3.5292156E-004, 1.0000000E+000, 4.7000000E+001, 5.3907008E-001, 4.8766399E-009
 2.7600000E-001, 1.0531004E-001, 5.4480192E-001, 5.9938803E-002, 3.4300949E-004, 1.0000000E+000, 4.7000000E+001, 5.3927253E-001, 4.9906425E-009
 2.7800000E-001, 1.0496732E-001, 5.4994901E-001, 5.7817625E-002, 3.8463037E-004, 1.0000000E+000, 4.7000000E+001, 5.3943036E-001, 5.0890742E-009
 2.8000000E-001, 1.0464279E-001, 5.5516532E-001, 5.5133707E-002, 4.1881062E-004, 1.0000000E+000, 4.7000000E+001, 5.3954220E-001, 5.1702274E-009
 2.8200000E-001, 1.0433438E-001, 5.6045718E-001, 5.2177460E-002, 4.1974690E-004, 1.0000000E+000, 4.7000000E+001, 5.3963615E-001, 5.2456437E-009
 2.8400000E-001, 1.0404473E-001, 5.6583003E-001, 4.9212286E-002, 3.9157709E-004, 1.0000000E+000, 4.7000000E+001, 5.3973472E-001, 5.3250793E-009
 2.8600000E-001, 1.0377770E-001, 5.7128891E-001, 4.6336590E-002, 3.5038449E-004, 1.0000000E+000, 4.7000000E+001, 5.3984792E-001, 5.4131749E-009
 2.8800000E-001, 1.0353586E-001, 5.7683915E-001, 4.3513507E-002, 3.0922194E-004, 1.0000000E+000, 4.7000000E+001, 5.3997036E-001, 5.5077027E-009
 2.9000000E-001, 1.0331985E-001, 5.8248672E-001, 4.0662311E-002, 2.7272886E-004, 1.0000000E+000, 4.7000000E+001, 5.4009485E-001, 5.6054829E-009
 2.9200000E-001, 1.0312902E-001, 5.8823816E-001, 3.7726447E-002, 2.5996446E-004, 1.0000000E+000, 4.7000000E+001, 5.4021409E-001, 5.7030612E-009
 2.9400000E-001, 1.0296214E-001, 5.9410043E-001, 3.4691652E-002, 2.6861617E-004, 1.0000000E+000, 4.7000000E+001, 5.4032450E-001, 5.7985964E-009
